country,code,time,open,high,low,close,volume,amount
US,MSFT,2016-06-13,49.58,50.72,49.06,50.14,83217844.0,4150489969.5
US,MSFT,2016-06-14,49.9,50.1,49.57,49.83,42577106.0,2122468734.1
US,MSFT,2016-06-15,49.78,50.12,49.69,49.69,33757639.0,1681805574.98
US,MSFT,2016-06-16,49.52,50.47,49.51,50.39,31188605.0,1558572563.3625
US,MSFT,2016-06-17,50.41,50.43,49.82,50.13,45710516.0,2294553626.91
US,MSFT,2016-06-20,50.64,50.83,50.03,50.07,35607946.0,1794373418.805
US,MSFT,2016-06-21,50.2,51.43,50.16,51.19,34097825.0,1730294129.625
US,MSFT,2016-06-22,51.08,51.46,50.95,50.99,28816848.0,1473117269.76
US,MSFT,2016-06-23,51.28,52.06,51.15,51.91,29028833.0,1497887782.8
US,MSFT,2016-06-24,49.81,50.94,49.52,49.83,133503000.0,6678487575.0
US,MSFT,2016-06-27,49.1,49.15,48.04,48.43,50576699.0,2462073707.32
US,MSFT,2016-06-28,48.92,49.47,48.67,49.44,38140700.0,1873661887.5
US,MSFT,2016-06-29,49.91,50.72,49.8,50.54,31304021.0,1572792275.0925
US,MSFT,2016-06-30,50.72,51.3,50.5,51.17,28527800.0,1452706895.5
US,MSFT,2016-07-01,51.13,51.72,51.07,51.16,21400400.0,1097198508.0
US,MSFT,2016-07-05,50.83,51.28,50.74,51.17,24806400.0,1265250432.0
US,MSFT,2016-07-06,50.78,51.54,50.39,51.38,28167500.0,1437176268.75
US,MSFT,2016-07-07,51.42,51.61,51.07,51.38,19585200.0,1006091724.0
US,MSFT,2016-07-08,51.73,52.36,51.55,52.3,28391026.0,1475907486.61
US,MSFT,2016-07-11,52.5,52.83,52.47,52.59,22269203.0,1171304404.7925
US,MSFT,2016-07-12,52.94,53.4,52.79,53.21,27317600.0,1450154796.0
US,MSFT,2016-07-13,53.56,53.86,53.18,53.51,25356841.0,1357288306.6275
US,MSFT,2016-07-14,53.84,53.99,53.58,53.74,24545520.0,1320242157.0
US,MSFT,2016-07-15,53.95,54.0,53.21,53.7,32024400.0,1720190646.0
US,MSFT,2016-07-18,53.7,54.34,53.55,53.96,31433900.0,1693894286.25
US,MSFT,2016-07-19,53.71,53.9,52.93,53.09,53336533.0,2848570886.1975
US,MSFT,2016-07-20,56.15,56.84,55.53,55.91,89893301.0,5043688385.8575
US,MSFT,2016-07-21,55.98,56.23,55.76,55.8,32776700.0,1833610539.75
US,MSFT,2016-07-22,56.08,56.63,55.78,56.57,32157200.0,1809324858.0
US,MSFT,2016-07-25,56.47,56.74,56.26,56.73,25610600.0,1448279430.0
US,MSFT,2016-07-26,56.52,57.29,56.51,56.76,28079000.0,1594044830.0
US,MSFT,2016-07-27,56.61,56.8,56.11,56.19,32327500.0,1824160006.25
US,MSFT,2016-07-28,56.0,56.37,55.72,56.21,37550411.0,2105639296.825
US,MSFT,2016-07-29,56.26,56.76,56.05,56.68,30558718.0,1724657647.125
US,MSFT,2016-08-01,56.6,56.75,56.14,56.58,26003419.0,1469648233.3325
US,MSFT,2016-08-02,56.85,56.9,56.31,56.58,35122000.0,1990012520.0
US,MSFT,2016-08-03,56.68,57.11,56.49,56.97,22075616.0,1254170934.0
US,MSFT,2016-08-04,56.8,57.52,56.67,57.39,26587749.0,1518027529.155
US,MSFT,2016-08-05,57.65,58.21,57.45,57.96,29335221.0,1696089140.1675
US,MSFT,2016-08-08,58.06,58.09,57.78,58.06,19473500.0,1129414316.25
US,MSFT,2016-08-09,58.17,58.5,58.02,58.2,16920721.0,985166678.4225
US,MSFT,2016-08-10,58.16,58.32,57.82,58.02,15756913.0,915161507.04
US,MSFT,2016-08-11,58.03,58.45,58.03,58.3,18162301.0,1057091323.9525
US,MSFT,2016-08-12,58.03,58.19,57.62,57.94,21655200.0,1254810564.0
US,MSFT,2016-08-15,58.01,58.5,57.96,58.12,19283902.0,1121310691.545
US,MSFT,2016-08-16,57.61,57.62,57.27,57.44,20523500.0,1179793397.5
US,MSFT,2016-08-17,57.54,57.68,57.23,57.56,18856423.0,1084291463.5575
US,MSFT,2016-08-18,57.42,57.7,57.27,57.6,14214341.0,817289071.6475
US,MSFT,2016-08-19,57.43,57.73,57.2,57.62,17271044.0,992998674.78
US,MSFT,2016-08-22,57.6,57.75,57.26,57.67,15221922.0,876326049.54
US,MSFT,2016-08-23,57.9,58.18,57.85,57.89,18732400.0,1085636242.0
US,MSFT,2016-08-24,57.8,58.04,57.72,57.95,18151506.0,1050563788.515
US,MSFT,2016-08-25,57.88,58.29,57.78,58.17,18552600.0,1076607378.0
US,MSFT,2016-08-26,58.28,58.7,57.69,58.03,20971202.0,1219999676.35
US,MSFT,2016-08-29,58.18,58.6,58.1,58.1,16417207.0,956220221.715
US,MSFT,2016-08-30,57.98,58.19,57.61,57.89,16930200.0,980554858.5
US,MSFT,2016-08-31,57.65,57.8,57.3,57.46,20860300.0,1200562415.75
