country,code,time,open,high,low,close,volume,amount
US,MU,2016-06-13,12.0,12.36,11.94,12.05,15570211.0,188204925.4625
US,MU,2016-06-14,12.07,12.32,11.74,11.92,21913200.0,263232315.0
US,MU,2016-06-15,12.16,12.25,11.95,12.02,17491711.0,211562244.545
US,MU,2016-06-16,11.87,11.99,11.58,11.95,22453124.0,266013386.59
US,MU,2016-06-17,11.97,12.35,11.95,12.2,20604243.0,249671914.5525
US,MU,2016-06-20,12.51,12.66,12.29,12.32,21481700.0,267339756.5
US,MU,2016-06-21,12.54,12.83,12.42,12.75,25060548.0,316640023.98
US,MU,2016-06-22,12.78,13.04,12.67,12.72,26968200.0,345260380.5
US,MU,2016-06-23,13.41,14.16,13.41,14.05,71203000.0,979575272.5
US,MU,2016-06-24,13.5,13.85,13.13,13.21,77486100.0,1040057177.25
US,MU,2016-06-27,13.13,13.24,12.1,12.23,45939547.0,582283758.225
US,MU,2016-06-28,12.64,13.05,12.62,12.99,34838100.0,446798632.5
US,MU,2016-06-29,13.3,13.42,12.94,13.19,36879800.0,487274357.5
US,MU,2016-06-30,13.34,13.78,13.22,13.76,48486133.0,655774948.825
US,MU,2016-07-01,12.58,12.9,12.31,12.5,68847100.0,865580164.75
US,MU,2016-07-05,12.38,12.45,11.8,11.91,37298900.0,452622151.5
US,MU,2016-07-06,11.76,11.85,11.5,11.73,35747849.0,418607311.79
US,MU,2016-07-07,11.9,12.55,11.89,12.2,33457144.0,406002442.44
US,MU,2016-07-08,12.39,12.72,12.38,12.62,27955735.0,350215470.2125
US,MU,2016-07-11,12.79,12.98,12.61,12.64,22797147.0,290777609.985
US,MU,2016-07-12,13.0,13.46,12.98,13.23,35226800.0,463848889.0
US,MU,2016-07-13,13.24,13.39,13.07,13.29,23067400.0,305585381.5
US,MU,2016-07-14,13.5,13.55,13.27,13.29,18698912.0,250612168.08
US,MU,2016-07-15,13.31,13.5,13.04,13.13,18046227.0,239022276.615
US,MU,2016-07-18,13.25,13.36,13.09,13.34,17180502.0,227813456.52
US,MU,2016-07-19,13.22,13.26,13.05,13.22,30569900.0,403140556.25
US,MU,2016-07-20,13.33,13.62,13.24,13.59,35666000.0,479529370.0
US,MU,2016-07-21,13.48,13.5,13.08,13.18,16734740.0,222739389.4
US,MU,2016-07-22,13.21,13.23,13.02,13.13,18755900.0,246593195.25
US,MU,2016-07-25,14.0,14.33,13.88,13.92,51357000.0,720667102.5
US,MU,2016-07-26,14.0,14.69,13.93,14.67,38959800.0,558001735.5
US,MU,2016-07-27,14.85,14.89,14.06,14.19,35035816.0,507931742.46
US,MU,2016-07-28,14.13,14.19,13.7,13.81,25504204.0,355974927.33
US,MU,2016-07-29,13.91,13.94,13.62,13.74,21792900.0,300796502.25
US,MU,2016-08-01,13.81,13.92,13.55,13.56,16363941.0,224349631.11
US,MU,2016-08-02,13.55,13.58,13.02,13.4,23707639.0,317386017.1125
US,MU,2016-08-03,13.27,13.58,13.27,13.51,17316605.0,232172381.5375
US,MU,2016-08-04,13.61,14.2,13.6,14.03,23400100.0,324325386.0
US,MU,2016-08-05,14.22,14.78,14.2,14.52,29098400.0,419889912.0
US,MU,2016-08-08,14.53,14.72,14.38,14.42,16163524.0,234573142.05
US,MU,2016-08-09,14.56,14.7,14.4,14.48,12573716.0,182758962.06
US,MU,2016-08-10,14.48,14.5,14.03,14.2,15003200.0,214583268.0
US,MU,2016-08-11,14.25,14.49,14.21,14.43,14451300.0,207303898.5
US,MU,2016-08-12,14.46,14.99,14.43,14.93,24909905.0,366237878.2625
US,MU,2016-08-15,15.09,15.7,15.08,15.53,29105200.0,446764820.0
US,MU,2016-08-16,15.58,15.59,15.23,15.49,21872700.0,338425350.75
US,MU,2016-08-17,15.53,15.76,15.46,15.52,22552119.0,351080112.5325
US,MU,2016-08-18,15.55,15.8,15.51,15.77,16590746.0,259769605.495
US,MU,2016-08-19,16.16,16.45,16.03,16.25,35059400.0,568751116.5
US,MU,2016-08-22,16.15,16.43,15.91,16.19,22145800.0,358097586.0
US,MU,2016-08-23,16.27,16.54,16.14,16.18,23741423.0,386569719.9975
US,MU,2016-08-24,16.2,16.24,15.38,15.51,26686933.0,422520866.7225
US,MU,2016-08-25,15.9,16.55,15.88,16.2,34837800.0,562020808.5
US,MU,2016-08-26,16.34,16.81,16.29,16.51,24243700.0,399718003.75
US,MU,2016-08-29,16.92,17.25,16.61,16.91,34467800.0,583281345.5
US,MU,2016-08-30,17.0,17.01,16.51,16.74,23620941.0,397186122.915
US,MU,2016-08-31,16.7,16.74,16.14,16.49,21963700.0,362785414.75
US,MU,2016-09-01,16.61,16.8,16.3,16.64,15719500.0,260747206.25
US,MU,2016-09-02,16.96,16.97,16.57,16.7,16099536.0,270472204.8
US,MU,2016-09-06,16.8,17.08,16.75,17.01,22998632.0,388906867.12
US,MU,2016-09-07,17.21,17.35,17.02,17.16,23023500.0,395658847.5
US,MU,2016-09-08,17.18,17.86,16.88,17.45,39212100.0,680035844.25
US,MU,2016-09-09,17.33,17.74,16.69,16.81,31389600.0,538096218.0
US,MU,2016-09-12,16.61,17.2,16.37,17.15,28239200.0,475336334.0
US,MU,2016-09-13,16.92,17.15,16.46,16.75,24345814.0,409496591.48
US,MU,2016-09-14,16.88,17.08,16.65,16.93,18635625.0,314662528.125
US,MU,2016-09-15,16.9,17.46,16.85,17.45,24321661.0,417481311.065
US,MU,2016-09-16,18.08,18.08,17.34,17.48,37447400.0,664504113.0
US,MU,2016-09-19,17.63,17.77,16.85,16.95,23999927.0,415198737.1
US,MU,2016-09-20,17.05,17.27,16.72,16.92,17775812.0,302011045.88
US,MU,2016-09-21,17.25,17.7,17.23,17.66,31384949.0,547981209.54
US,MU,2016-09-22,17.89,18.05,17.41,17.59,25278043.0,448306092.605
US,MU,2016-09-23,17.45,17.74,17.43,17.48,17947621.0,314532058.025
US,MU,2016-09-26,17.35,17.6,17.18,17.36,19567204.0,339931251.49
US,MU,2016-09-27,17.53,18.08,17.35,18.0,28621000.0,507736540.0
US,MU,2016-09-28,18.16,18.16,17.15,17.44,42715601.0,757240816.7275
US,MU,2016-09-29,17.45,17.77,17.35,17.54,31870200.0,558604930.5
US,MU,2016-09-30,17.75,18.0,17.58,17.78,21363100.0,379782510.25
US,MU,2016-10-03,17.99,18.02,17.6,17.73,26856131.0,478979096.385
US,MU,2016-10-04,17.98,18.04,17.66,17.8,54502815.0,973965304.05
US,MU,2016-10-05,17.55,18.33,17.28,17.7,67739500.0,1200005242.5
US,MU,2016-10-06,17.64,17.89,17.54,17.73,21606840.0,382441068.0
US,MU,2016-10-07,17.72,17.8,17.3,17.61,23849000.0,419921267.5
US,MU,2016-10-10,17.72,17.84,17.49,17.5,18857618.0,332601237.475
US,MU,2016-10-11,17.4,17.47,16.53,16.86,38070237.0,649668594.405
US,MU,2016-10-12,16.88,17.04,16.67,16.78,17901800.0,301511066.5
US,MU,2016-10-13,16.56,17.0,16.17,16.85,28593700.0,475942136.5
US,MU,2016-10-14,17.03,17.41,16.99,17.13,23539801.0,403472189.14
US,MU,2016-10-17,17.02,17.17,16.93,16.99,12657800.0,215530689.5
US,MU,2016-10-18,17.21,17.66,17.2,17.41,20185708.0,350625747.96
US,MU,2016-10-19,17.0,17.25,16.85,17.22,18629500.0,318191860.0
US,MU,2016-10-20,17.05,17.5,17.05,17.2,17129735.0,294631442.0
US,MU,2016-10-21,17.0,17.07,16.8,16.94,18710303.0,317186411.6075
US,MU,2016-10-24,17.07,17.16,16.97,17.06,13838733.0,236157978.645
US,MU,2016-10-25,17.1,17.61,17.1,17.54,27444029.0,475810852.7875
US,MU,2016-10-26,17.3,17.93,17.2,17.64,23610533.0,413597511.8275
US,MU,2016-10-27,17.82,17.9,17.4,17.53,21198300.0,374414973.75
US,MU,2016-10-28,17.6,17.67,17.1,17.2,20832423.0,362327917.0275
US,MU,2016-10-31,17.54,17.76,17.16,17.16,23267609.0,404972734.645
