country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,NBIS,2024-10-21,2.36,2.36,47.2,47.2,1.0,0.05769808898305085
US,NBIS,2024-10-22,2.36,2.36,44.2028,44.2028,1.0,0.02730493220338983
US,NBIS,2024-10-23,2.36,2.36,40.4976,40.4976,1.0,0.04173664830508474
US,NBIS,2024-10-24,2.36,2.36,41.6068,41.6068,1.0,0.03327024152542373
US,NBIS,2024-10-25,2.36,2.36,46.1852,46.1852,1.0,0.028594110169491524
US,NBIS,2024-10-28,2.36,2.36,56.05,56.05,1.0,0.056072656779661015
US,NBIS,2024-10-29,2.36,2.36,55.814,55.814,1.0,0.03134817372881356
US,NBIS,2024-10-30,2.36,2.36,52.0616,52.0616,1.0,0.0974236186440678
US,NBIS,2024-10-31,2.36,2.36,50.4568,50.4568,1.0,0.01941013559322034
US,NBIS,2024-11-01,2.36,2.36,47.5304,47.5304,1.0,0.016870966101694914
US,NBIS,2024-11-04,2.36,2.36,48.97,48.97,1.0,0.017733055084745764
US,NBIS,2024-11-05,2.36,2.36,44.84,44.84,1.0,0.05268940677966102
US,NBIS,2024-11-06,2.36,2.36,45.548,45.548,1.0,0.01755957627118644
US,NBIS,2024-11-07,2.36,2.36,48.8048,48.8048,1.0,0.010890254237288136
US,NBIS,2024-11-08,2.36,2.36,47.0112,47.0112,1.0,0.009983177966101695
US,NBIS,2024-11-11,2.36,2.36,49.4184,49.4184,1.0,0.012319915254237288
US,NBIS,2024-11-12,2.36,2.36,46.256,46.256,1.0,0.00900635593220339
US,NBIS,2024-11-13,2.36,2.36,43.8252,43.8252,1.0,0.008851271186440678
US,NBIS,2024-11-14,2.36,2.36,42.6924,42.6924,1.0,0.009171733050847458
US,NBIS,2024-11-15,2.36,2.36,41.536,41.536,1.0,0.008520440677966102
US,NBIS,2024-11-18,2.36,2.36,43.7072,43.7072,1.0,0.007552224576271187
US,NBIS,2024-11-19,2.36,2.36,48.734,48.734,1.0,0.020228851694915253
US,NBIS,2024-11-20,2.36,2.36,48.5688,48.5688,1.0,0.01636313559322034
US,NBIS,2024-11-21,2.36,2.36,51.92,51.92,1.0,0.015422881355932203
US,NBIS,2024-11-22,2.36,2.36,55.4364,55.4364,1.0,0.018376694915254236
US,NBIS,2024-11-25,2.36,2.36,55.4364,55.4364,1.0,0.025914406779661017
US,NBIS,2024-11-26,2.36,2.36,52.2032,52.2032,1.0,0.010358372881355932
US,NBIS,2024-11-27,2.36,2.36,50.5748,50.5748,1.0,0.010996186440677966
US,NBIS,2024-11-29,2.36,2.36,51.8964,51.8964,1.0,0.012102580508474577
US,NBIS,2024-12-02,2.36,2.36,60.77,60.77,1.0,0.0726364406779661
US,NBIS,2024-12-03,2.36,2.36,69.2188,69.2188,1.0,0.09458516949152543
US,NBIS,2024-12-04,2.36,2.36,76.2516,76.2516,1.0,0.10172754237288135
US,NBIS,2024-12-05,2.36,2.36,73.5376,73.5376,1.0,0.04396059322033898
US,NBIS,2024-12-06,2.36,2.36,86.7772,86.7772,1.0,0.06232341949152542
US,NBIS,2024-12-09,2.36,2.36,75.4256,75.4256,1.0,0.070589
US,NBIS,2024-12-10,2.36,2.36,79.532,79.532,1.0,0.04228445338983051
US,NBIS,2024-12-11,2.36,2.36,77.3608,77.3608,1.0,0.025550449152542374
US,NBIS,2024-12-12,2.36,2.36,73.9388,73.9388,1.0,0.02408771186440678
US,NBIS,2024-12-13,2.36,2.36,72.57,72.57,1.0,0.03063050847457627
US,NBIS,2024-12-16,2.36,2.36,78.824,78.824,1.0,0.03204250847457627
US,NBIS,2024-12-17,2.36,2.36,69.2424,69.2424,1.0,0.03217584745762712
US,NBIS,2024-12-18,2.36,2.36,63.9324,63.9324,1.0,0.03714025423728814
US,NBIS,2024-12-19,2.36,2.36,63.838,63.838,1.0,0.028804016949152543
US,NBIS,2024-12-20,2.36,2.36,63.0356,63.0356,1.0,0.023559377118644066
US,NBIS,2024-12-23,2.36,2.36,67.5904,67.5904,1.0,0.023724576271186442
US,NBIS,2024-12-24,2.36,2.36,66.67,66.67,1.0,0.012591949152542373
US,NBIS,2024-12-26,2.36,2.36,66.2216,66.2216,1.0,0.012815677966101694
US,NBIS,2024-12-27,2.36,2.36,64.4516,64.4516,1.0,0.02291325
US,NBIS,2024-12-30,2.36,2.36,63.5312,63.5312,1.0,0.01317135593220339
US,NBIS,2024-12-31,2.36,2.36,65.372,65.372,1.0,0.016145762711864405
US,NBIS,2025-01-02,2.38,2.38,72.6138,72.6138,1.0,0.02839873949579832
US,NBIS,2025-01-03,2.38,2.38,74.2084,74.2084,1.0,0.01848661344537815
US,NBIS,2025-01-06,2.38,2.38,74.3036,74.3036,1.0,0.02420798319327731
US,NBIS,2025-01-07,2.38,2.38,75.0652,75.0652,1.0,0.03542983193277311
US,NBIS,2025-01-08,2.38,2.38,73.1612,73.1612,1.0,0.017592966386554623
US,NBIS,2025-01-10,2.38,2.38,78.9684,78.9684,1.0,0.030242857142857144
US,NBIS,2025-01-13,2.38,2.38,85.0136,85.0136,1.0,0.04699789915966387
US,NBIS,2025-01-14,2.38,2.38,87.7982,87.7982,1.0,0.04212394957983193
US,NBIS,2025-01-15,2.38,2.38,88.1076,88.1076,1.0,0.042240756302521006
US,NBIS,2025-01-16,2.38,2.38,89.4642,89.4642,1.0,0.02359201680672269
US,NBIS,2025-01-17,2.38,2.38,85.7752,85.7752,1.0,0.020837865546218488
US,NBIS,2025-01-21,2.38,2.38,89.488,89.488,1.0,0.02744621848739496
US,NBIS,2025-01-22,2.38,2.38,94.0576,94.0576,1.0,0.0432358487394958
US,NBIS,2025-01-23,2.38,2.38,91.9632,91.9632,1.0,0.03197016806722689
US,NBIS,2025-01-24,2.38,2.38,99.2222,99.2222,1.0,0.05905844117647059
US,NBIS,2025-01-27,2.38,2.38,62.0704,62.0704,1.0,0.18714495798319328
US,NBIS,2025-01-28,2.38,2.38,71.6142,71.6142,1.0,0.09304126050420168
US,NBIS,2025-01-29,2.38,2.38,70.7574,70.7574,1.0,0.05450210084033613
US,NBIS,2025-01-30,2.38,2.38,75.684,75.684,1.0,0.04956563865546219
US,NBIS,2025-01-31,2.38,2.38,77.7308,77.7308,1.0,0.04894176890756303
US,NBIS,2025-02-03,2.38,2.38,79.2778,79.2778,1.0,0.047815268907563026
US,NBIS,2025-02-04,2.38,2.38,82.11,82.11,1.0,0.03224804201680672
US,NBIS,2025-02-05,2.38,2.38,80.7534,80.7534,1.0,0.027935714285714286
US,NBIS,2025-02-06,2.38,2.38,82.229,82.229,1.0,0.03675378151260504
US,NBIS,2025-02-07,2.38,2.38,90.7494,90.7494,1.0,0.07364124369747899
US,NBIS,2025-02-10,2.38,2.38,97.5086,97.5086,1.0,0.05287100840336134
US,NBIS,2025-02-11,2.38,2.38,98.5796,98.5796,1.0,0.039741785714285716
US,NBIS,2025-02-12,2.38,2.38,93.534,93.534,1.0,0.038326105042016806
US,NBIS,2025-02-13,2.38,2.38,99.246,99.246,1.0,0.03437529411764706
US,NBIS,2025-02-14,2.38,2.38,105.8862,105.8862,1.0,0.14752689075630251
US,NBIS,2025-02-18,2.38,2.38,114.4066,114.4066,1.0,0.11822857142857143
US,NBIS,2025-02-19,2.38,2.38,106.6954,106.6954,1.0,0.07702244537815126
US,NBIS,2025-02-20,2.38,2.38,110.075,110.075,1.0,0.15352226890756301
US,NBIS,2025-02-21,2.38,2.38,94.8192,94.8192,1.0,0.0930546218487395
US,NBIS,2025-02-24,2.38,2.38,86.2036,86.2036,1.0,0.09162521008403361
US,NBIS,2025-02-25,2.38,2.38,81.4198,81.4198,1.0,0.06209663865546219
US,NBIS,2025-02-26,2.38,2.38,85.6324,85.6324,1.0,0.05218991596638656
US,NBIS,2025-02-27,2.38,2.38,76.279,76.279,1.0,0.07023675210084034
