country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,NFLX,2016-06-13,4.28483,4.28483,402.345537,402.345537,0.1,0.03146996496943869
US,NFLX,2016-06-14,4.28483,4.28483,403.202503,403.202503,0.1,0.0221254705554246
US,NFLX,2016-06-15,4.28483,4.28483,404.059469,404.059469,0.1,0.017913077064901056
US,NFLX,2016-06-16,4.28483,4.28483,408.772782,408.772782,0.1,0.017622108695094084
US,NFLX,2016-06-17,4.28483,4.28483,404.916435,404.916435,0.1,0.018779837239750467
US,NFLX,2016-06-20,4.28483,4.28483,401.917054,401.917054,0.1,0.021065890595426188
US,NFLX,2016-06-21,4.28483,4.28483,389.91953,389.91953,0.1,0.03547334900101054
US,NFLX,2016-06-22,4.28483,4.28483,385.6347,385.6347,0.1,0.022065484511637565
US,NFLX,2016-06-23,4.28483,4.28483,392.918911,392.918911,0.1,0.025249620171628743
US,NFLX,2016-06-24,4.28483,4.28483,378.778972,378.778972,0.1,0.02625210801828777
US,NFLX,2016-06-27,4.28483,4.28483,365.495999,365.495999,0.1,0.032149947605856
US,NFLX,2016-06-28,4.28483,4.28483,377.06504,377.06504,0.1,0.026945365393726235
US,NFLX,2016-06-29,4.28483,4.28483,390.348013,390.348013,0.1,0.027275478840467413
US,NFLX,2016-06-30,4.28937,4.28937,392.477355,392.477355,0.1,0.021212837782704688
US,NFLX,2016-07-01,4.28937,4.28937,414.782079,414.782079,0.1,0.03769133928758769
US,NFLX,2016-07-05,4.28937,4.28937,419.929323,419.929323,0.1,0.06033372499924231
US,NFLX,2016-07-06,4.28937,4.28937,405.774402,405.774402,0.1,0.038003741808237575
US,NFLX,2016-07-07,4.28937,4.28937,407.919087,407.919087,0.1,0.02311180662894551
US,NFLX,2016-07-08,4.28937,4.28937,416.497827,416.497827,0.1,0.019432632297983154
US,NFLX,2016-07-11,4.28937,4.28937,406.203339,406.203339,0.1,0.030951307534672925
US,NFLX,2016-07-12,4.28937,4.28937,411.77952,411.77952,0.1,0.027067867775454203
US,NFLX,2016-07-13,4.28937,4.28937,413.495268,413.495268,0.1,0.020443242247696048
US,NFLX,2016-07-14,4.28937,4.28937,420.35826,420.35826,0.1,0.02304536330510075
US,NFLX,2016-07-15,4.28937,4.28937,422.074008,422.074008,0.1,0.021079704012477357
US,NFLX,2016-07-18,4.28937,4.28937,423.789756,423.789756,0.1,0.06683885745459123
US,NFLX,2016-07-19,4.28937,4.28937,368.027946,368.027946,0.1,0.12981209128613294
US,NFLX,2016-07-20,4.28937,4.28937,377.035623,377.035623,0.1,0.05484521270023337
US,NFLX,2016-07-21,4.28937,4.28937,368.88582,368.88582,0.1,0.037497338770029164
US,NFLX,2016-07-22,4.28937,4.28937,368.456883,368.456883,0.1,0.02649320762722731
US,NFLX,2016-07-25,4.28937,4.28937,376.177749,376.177749,0.1,0.03295245455626351
US,NFLX,2016-07-26,4.28937,4.28937,392.048418,392.048418,0.1,0.04564218754735544
US,NFLX,2016-07-27,4.28937,4.28937,394.62204,394.62204,0.1,0.020346850469882525
US,NFLX,2016-07-28,4.28937,4.28937,393.335229,393.335229,0.1,0.01451885241888669
US,NFLX,2016-07-29,4.28937,4.28937,391.619481,391.619481,0.1,0.016226676644821966
US,NFLX,2016-08-01,4.28937,4.28937,404.916528,404.916528,0.1,0.024868255711211668
US,NFLX,2016-08-02,4.28937,4.28937,401.485032,401.485032,0.1,0.02293164963619366
US,NFLX,2016-08-03,4.28937,4.28937,399.340347,399.340347,0.1,0.01639148872678272
US,NFLX,2016-08-04,4.28937,4.28937,400.627158,400.627158,0.1,0.014089234549595861
US,NFLX,2016-08-05,4.28937,4.28937,416.06889,416.06889,0.1,0.042814681410090524
US,NFLX,2016-08-08,4.28937,4.28937,407.919087,407.919087,0.1,0.023629113366298547
US,NFLX,2016-08-09,4.28937,4.28937,403.20078,403.20078,0.1,0.021391050433979816
US,NFLX,2016-08-10,4.28937,4.28937,402.771843,402.771843,0.1,0.015179716368604247
US,NFLX,2016-08-11,4.28937,4.28937,411.350583,411.350583,0.1,0.01992753947549407
US,NFLX,2016-08-12,4.28937,4.28937,414.353142,414.353142,0.1,0.015370376069212962
US,NFLX,2016-08-15,4.28937,4.28937,408.776961,408.776961,0.1,0.017029587095540838
US,NFLX,2016-08-16,4.28937,4.28937,407.919087,407.919087,0.1,0.014713906704247944
US,NFLX,2016-08-17,4.28937,4.28937,413.495268,413.495268,0.1,0.01938656492678412
US,NFLX,2016-08-18,4.28937,4.28937,412.637394,412.637394,0.1,0.01690837815343512
US,NFLX,2016-08-19,4.28937,4.28937,411.350583,411.350583,0.1,0.01618627444123496
US,NFLX,2016-08-22,4.28937,4.28937,408.776961,408.776961,0.1,0.01359301715636562
US,NFLX,2016-08-23,4.28937,4.28937,411.350583,411.350583,0.1,0.01221416198649219
US,NFLX,2016-08-24,4.28937,4.28937,408.348024,408.348024,0.1,0.01463261038334301
US,NFLX,2016-08-25,4.28937,4.28937,417.355701,417.355701,0.1,0.025232271872093103
US,NFLX,2016-08-26,4.28937,4.28937,418.642512,418.642512,0.1,0.015427990590692806
US,NFLX,2016-08-29,4.28937,4.28937,417.355701,417.355701,0.1,0.018670410806248938
US,NFLX,2016-08-30,4.28937,4.28937,418.213575,418.213575,0.1,0.014206132835358105
US,NFLX,2016-08-31,4.28937,4.28937,418.213575,418.213575,0.1,0.01093543807132516
US,NFLX,2016-09-01,4.28937,4.28937,417.784638,417.784638,0.1,0.009671865565339431
US,NFLX,2016-09-02,4.28937,4.28937,417.784638,417.784638,0.1,0.009901645229952185
US,NFLX,2016-09-06,4.28937,4.28937,429.365937,429.365937,0.1,0.021066245159545575
US,NFLX,2016-09-07,4.28937,4.28937,425.505504,425.505504,0.1,0.015080331144200664
