country,code,time,open,high,low,close,volume,amount
US,NFLX,2016-06-13,95.0,97.2,93.6,93.9,13484345.0,1279664340.5
US,NFLX,2016-06-14,94.2,95.8,93.3,94.1,9480388.0,894948627.2
US,NFLX,2016-06-15,94.6,95.5,93.5,94.3,7675449.0,724562385.6
US,NFLX,2016-06-16,94.2,95.6,93.2,95.4,7550774.0,715058297.8
US,NFLX,2016-06-17,95.8,95.8,94.2,94.5,8046841.0,762840526.8
US,NFLX,2016-06-20,95.2,95.9,93.7,93.8,9026376.0,852992532.0
US,NFLX,2016-06-21,93.9,93.9,90.8,91.0,15199727.0,1396854911.3
US,NFLX,2016-06-22,90.8,92.0,89.8,90.0,9454685.0,856594461.0
US,NFLX,2016-06-23,90.6,91.7,88.2,91.7,10819033.0,979122486.5
US,NFLX,2016-06-24,87.5,90.5,87.2,88.4,11248582.0,997749223.4
US,NFLX,2016-06-27,87.9,88.0,84.8,85.3,13775706.0,1184710716.0
US,NFLX,2016-06-28,87.4,88.9,86.4,88.0,11545631.0,1013706401.8
US,NFLX,2016-06-29,89.7,92.0,88.7,91.1,11687079.0,1058849357.4
US,NFLX,2016-06-30,90.9,91.7,89.9,91.5,9098971.0,828006361.0
US,NFLX,2016-07-01,95.0,97.0,94.8,96.7,16167210.0,1555285602.0
US,NFLX,2016-07-05,95.2,101.3,93.3,97.9,25879367.0,2523238282.5
US,NFLX,2016-07-06,95.0,96.0,93.6,94.6,16301211.0,1543724681.7
US,NFLX,2016-07-07,94.7,95.4,93.2,95.1,9913509.0,937817951.4
US,NFLX,2016-07-08,96.0,97.4,95.3,97.1,8335375.0,805197225.0
US,NFLX,2016-07-11,96.2,96.9,94.3,94.7,13276161.0,1265218143.3
US,NFLX,2016-07-12,95.1,96.7,94.1,96.0,11610410.0,1109955196.0
US,NFLX,2016-07-13,96.3,96.7,94.8,96.4,8768863.0,841810848.0
US,NFLX,2016-07-14,97.0,98.3,96.8,98.0,9885009.0,965765379.3
US,NFLX,2016-07-15,98.5,98.7,97.4,98.4,9041865.0,887911143.0
US,NFLX,2016-07-18,98.4,99.8,97.2,98.8,28669659.0,2826828377.4
US,NFLX,2016-07-19,85.4,86.8,84.5,85.8,55681209.0,4771879611.3
US,NFLX,2016-07-20,86.7,88.5,85.8,87.9,23525141.0,2056097323.4
US,NFLX,2016-07-21,88.3,88.4,85.2,86.0,16083996.0,1391265654.0
US,NFLX,2016-07-22,86.5,86.5,85.1,85.9,11363917.0,975024078.6
US,NFLX,2016-07-25,85.7,87.9,85.0,87.7,14134527.0,1228290396.3
US,NFLX,2016-07-26,91.0,93.1,90.9,91.4,19577623.0,1797225791.4
US,NFLX,2016-07-27,91.5,92.1,90.1,92.0,8727517.0,797695053.8
US,NFLX,2016-07-28,91.9,92.2,90.7,91.7,6227673.0,569832079.5
US,NFLX,2016-07-29,91.2,91.7,90.6,91.3,6960222.0,634772246.4
US,NFLX,2016-08-01,91.2,94.7,90.5,94.4,10666915.0,994156478.0
US,NFLX,2016-08-02,94.0,94.1,92.2,93.6,9836233.0,917720538.9
US,NFLX,2016-08-03,93.3,94.7,92.6,93.1,7030916.0,657390646.0
US,NFLX,2016-08-04,93.2,93.7,91.8,93.4,6043394.0,562035642.0
US,NFLX,2016-08-05,93.8,97.7,93.6,97.0,18364801.0,1764857376.1
US,NFLX,2016-08-08,95.9,95.9,94.0,95.1,10135401.0,962863095.0
US,NFLX,2016-08-09,95.1,95.8,93.5,94.0,9175413.0,866158987.2
US,NFLX,2016-08-10,94.4,94.8,93.0,93.9,6511142.0,611396233.8
US,NFLX,2016-08-11,94.6,96.3,94.4,95.9,8547659.0,816301434.5
US,NFLX,2016-08-12,95.5,96.8,95.1,96.6,6592923.0,634239192.6
US,NFLX,2016-08-15,96.8,96.9,95.2,95.3,7304620.0,699782596.0
US,NFLX,2016-08-16,95.2,95.6,94.4,95.1,6311339.0,599577205.0
US,NFLX,2016-08-17,94.9,96.9,94.9,96.4,8315615.0,799130601.5
US,NFLX,2016-08-18,96.0,97.2,95.2,96.2,7252629.0,697702909.8
US,NFLX,2016-08-19,96.1,96.8,95.5,95.9,6942892.0,667211921.2
US,NFLX,2016-08-22,95.7,96.1,95.0,95.3,5830548.0,556817334.0
US,NFLX,2016-08-23,95.7,96.6,95.5,95.9,5239106.0,502954176.0
US,NFLX,2016-08-24,96.1,96.4,94.9,95.2,6276468.0,599402694.0
US,NFLX,2016-08-25,96.4,98.2,96.0,97.3,10823055.0,1052000946.0
US,NFLX,2016-08-26,97.3,98.0,96.6,97.6,6617636.0,644557746.4
US,NFLX,2016-08-29,97.0,98.4,96.6,97.3,8008430.0,780021082.0
US,NFLX,2016-08-30,97.8,98.9,97.1,97.5,6093536.0,595947820.8
US,NFLX,2016-08-31,97.5,97.9,96.8,97.5,4690614.0,456865803.6
US,NFLX,2016-09-01,97.8,98.0,96.9,97.4,4148621.0,404075685.4
US,NFLX,2016-09-02,97.9,98.2,97.0,97.4,4247182.0,414100245.0
US,NFLX,2016-09-06,97.8,100.3,97.6,100.1,9036092.0,897283935.6
US,NFLX,2016-09-07,100.1,100.2,98.4,99.2,6468512.0,642323241.6
US,NFLX,2016-09-08,99.2,100.1,98.8,99.7,5201208.0,517520196.0
US,NFLX,2016-09-09,99.1,99.4,96.5,96.5,7373319.0,718898602.5
US,NFLX,2016-09-12,95.9,99.3,95.7,99.1,7718351.0,756398398.0
US,NFLX,2016-09-13,97.2,98.0,95.3,96.1,11502478.0,1109989127.0
US,NFLX,2016-09-14,97.4,98.4,97.0,97.0,8528450.0,831523875.0
US,NFLX,2016-09-15,97.2,98.0,96.5,97.3,5299930.0,515683189.0
US,NFLX,2016-09-16,97.1,99.5,97.0,99.5,9445109.0,932232258.3
US,NFLX,2016-09-19,99.9,100.4,97.8,98.1,8616083.0,851269000.4
US,NFLX,2016-09-20,98.8,99.2,97.7,98.3,4736762.0,466097380.8
US,NFLX,2016-09-21,96.9,97.1,93.3,94.9,20042236.0,1906016643.6
US,NFLX,2016-09-22,95.5,95.9,94.2,95.8,11214973.0,1068786926.9
US,NFLX,2016-09-23,95.8,97.0,95.4,95.9,6179471.0,593847163.1
US,NFLX,2016-09-26,95.4,95.4,94.0,94.6,6739188.0,638201103.6
US,NFLX,2016-09-27,95.0,97.6,95.0,97.1,9680100.0,935097660.0
US,NFLX,2016-09-28,97.1,97.6,96.0,97.5,7235109.0,701805573.0
US,NFLX,2016-09-29,97.3,98.3,96.6,96.7,6217636.0,604354219.2
US,NFLX,2016-09-30,96.9,99.5,96.8,98.6,9807925.0,964119027.5
