country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,NOW,2016,Q2,2016-06-30,USD,341312000.0,96649000.0,222577000.0,292941000.0,-46018000.0,20000000.0,-6284000.0,-54266000.0,-49625000.0,819193775.0,819193775.0,289113000.0,517601000.0,1097889000.0,166551000.0,616449000.0,852081000.0,537975000.0,164000.0,-928543000.0,324282000.0,-219528000.0,9170000.0,29343000.0,-148171000.0,-241000.0,-17168000.0,-164337000.0,453450000.0,-32952000.0
US,NOW,2016,Q3,2016-09-30,USD,357656000.0,102837000.0,206576000.0,281594000.0,-24992000.0,22264000.0,-6340000.0,-33381000.0,-36258000.0,826894180.0,826894180.0,325067000.0,481813000.0,1126907000.0,176106000.0,686207000.0,898339000.0,552272000.0,165000.0,-964801000.0,362503000.0,-437000.0,15827000.0,28731000.0,96718000.0,-51591000.0,-9007000.0,35954000.0,289113000.0,-31183000.0
US,NOW,2016,Q4,2016-12-31,USD,385666000.0,104936000.0,230400000.0,304333000.0,-24098000.0,23366000.0,-6338000.0,-30845000.0,-32589000.0,834083215.0,834083215.0,401238000.0,498124000.0,1342535000.0,181620000.0,691232000.0,1071498000.0,572150000.0,167000.0,-997390000.0,386961000.0,24237000.0,91879000.0,32882000.0,132687000.0,-29310000.0,-24987000.0,76171000.0,325067000.0,-29450000.0
US,NOW,2017,Q1,2017-03-31,USD,416783000.0,116447000.0,258337000.0,342826000.0,-34774000.0,25226000.0,-6100000.0,-43452000.0,-40662000.0,827461535.0,843711830.0,439915000.0,535399000.0,1396255000.0,189659000.0,774008000.0,1139805000.0,603119000.0,170000.0,-1038052000.0,427339000.0,82623000.0,85252000.0,33585000.0,187424000.0,-128454000.0,-19631000.0,39369000.0,401932000.0,-33186000.0
US,NOW,2017,Q2,2017-06-30,USD,471703000.0,121685000.0,298750000.0,388755000.0,-46279000.0,27181000.0,-7918000.0,-57904000.0,-56473000.0,852095415.0,852095415.0,1173457000.0,518719000.0,2111027000.0,213501000.0,813379000.0,1217290000.0,1224690000.0,171000.0,-1094525000.0,482426000.0,26408000.0,-877000.0,35003000.0,128725000.0,-27859000.0,613795000.0,733685000.0,441301000.0,-42087000.0
US,NOW,2017,Q3,2017-09-30,USD,498170000.0,127280000.0,279480000.0,377945000.0,-3331000.0,29401000.0,-11757999.0,-22768000.0,-24188000.0,853153845.0,859415950.0,1104871000.0,567026000.0,2127492000.0,231304000.0,942023000.0,1280651000.0,1237473000.0,173000.0,-1118713000.0,551391000.0,-9151000.0,6871000.0,46690000.0,141890000.0,-210090000.0,-8046000.0,-68678000.0,1174986000.0,-46753000.0
US,NOW,2017,Q4,2017-12-31,USD,546370000.0,134360000.0,320583000.0,425142000.0,-10838000.0,32067000.0,-10637000.0,-24880000.0,-27807000.0,834576260.0,867835715.0,726495000.0,1052803000.0,2421951000.0,245124000.0,1128294000.0,2039479000.0,713141000.0,174000.0,-958564000.0,778744000.0,25449000.0,115813000.0,52473000.0,184786000.0,-518284000.0,-47226000.0,-377042000.0,1104871000.0,-35154000.0
US,NOW,2018,Q1,2018-03-31,USD,589222000.0,143473000.0,348764000.0,466032000.0,9704000.0,33411000.0,-9896000.0,-7360000.0,10622000.0,877414165.0,951248930.0,682854000.0,1203105000.0,2489926000.0,267454000.0,1214559000.0,2098016000.0,741306000.0,177000.0,-941454000.0,865163000.0,94491000.0,41258000.0,14563000.0,250080000.0,-237246000.0,-61792000.0,-42467000.0,727829000.0,-43221000.0
US,NOW,2018,Q2,2018-06-30,USD,631056000.0,153165000.0,381964000.0,509880000.0,-25351000.0,35207000.0,-8015000.0,-40849000.0,-52746000.0,886715880.0,886715880.0,704846000.0,1044812000.0,2351629000.0,286953000.0,1121255000.0,1837041000.0,744133000.0,178000.0,-994200000.0,891710000.0,40671000.0,-3164000.0,-26218000.0,125896000.0,226312000.0,-303081000.0,35131000.0,685362000.0,-55991000.0
US,NOW,2018,Q3,2018-09-30,USD,673097000.0,157858000.0,370016000.0,505671000.0,9568000.0,37874000.0,-3759000.0,7230000.0,8405000.0,893598470.0,960954495.0,703629000.0,922411000.0,2292185000.0,297371000.0,1289257000.0,1818957000.0,742301000.0,179000.0,-985795000.0,1020184000.0,-90244000.0,-16557000.0,46429000.0,145501000.0,-89349000.0,-68234000.0,-14170000.0,720493000.0,-50737000.0
