country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,NOW,2016-06-13,1.63838755,1.63838755,119.110775,119.110775,1.0,0.010705891899630218
US,NOW,2016-06-14,1.63838755,1.63838755,119.602291,119.602291,1.0,0.005705969872634835
US,NOW,2016-06-15,1.63838755,1.63838755,121.977953,121.977953,1.0,0.0065953320995389645
US,NOW,2016-06-16,1.63838755,1.63838755,120.749162,120.749162,1.0,0.004742266260507167
US,NOW,2016-06-17,1.63838755,1.63838755,118.045823,118.045823,1.0,0.010830520532214737
US,NOW,2016-06-20,1.63838755,1.63838755,118.946936,118.946936,1.0,0.0067708949570570165
US,NOW,2016-06-21,1.63838755,1.63838755,119.192694,119.192694,1.0,0.005660351850207846
US,NOW,2016-06-22,1.63838755,1.63838755,117.800065,117.800065,1.0,0.004592448227527119
US,NOW,2016-06-23,1.63838755,1.63838755,123.206744,123.206744,1.0,0.008323659441870149
US,NOW,2016-06-24,1.63838755,1.63838755,115.260564,115.260564,1.0,0.016153150089549935
US,NOW,2016-06-27,1.63838755,1.63838755,104.283368,104.283368,1.0,0.018519165383062145
US,NOW,2016-06-28,1.63838755,1.63838755,106.740949,106.740949,1.0,0.013768775281526034
US,NOW,2016-06-29,1.63838755,1.63838755,108.870853,108.870853,1.0,0.009062861836321937
US,NOW,2016-06-30,1.65378836,1.65378836,109.811547,109.811547,1.0,0.01037522721468423
US,NOW,2016-07-01,1.65378836,1.65378836,109.480789,109.480789,1.0,0.004942143866582783
US,NOW,2016-07-05,1.65378836,1.65378836,107.90969,107.90969,1.0,0.009307805262337196
US,NOW,2016-07-06,1.65378836,1.65378836,108.075069,108.075069,1.0,0.007086831836209079
US,NOW,2016-07-07,1.65378836,1.65378836,107.496243,107.496243,1.0,0.007885301599292911
US,NOW,2016-07-08,1.65378836,1.65378836,114.276776,114.276776,1.0,0.01267659182218455
US,NOW,2016-07-11,1.65378836,1.65378836,113.863329,113.863329,1.0,0.0068664529722533545
US,NOW,2016-07-12,1.65378836,1.65378836,116.50939,116.50939,1.0,0.01123452096373444
US,NOW,2016-07-13,1.65378836,1.65378836,116.013253,116.013253,1.0,0.011012479250972597
US,NOW,2016-07-14,1.65378836,1.65378836,116.013253,116.013253,1.0,0.005096637637478595
US,NOW,2016-07-15,1.65378836,1.65378836,117.418974,117.418974,1.0,0.007428634943349099
US,NOW,2016-07-18,1.65378836,1.65378836,115.517117,115.517117,1.0,0.008645290017641676
