country,code,time,open,high,low,close,volume,amount
US,NOW,2016-06-13,73.3,74.4,72.55,72.7,1754040.0,128395728.0
US,NOW,2016-06-14,72.5,73.5,72.2,73.0,934859.0,68151221.1
US,NOW,2016-06-15,73.1,75.1,73.0,74.45,1080571.0,80178368.2
US,NOW,2016-06-16,73.8,73.95,72.7,73.7,776967.0,57068226.15
US,NOW,2016-06-17,73.25,74.55,71.6,72.05,1774459.0,129091892.25
US,NOW,2016-06-20,73.15,73.65,72.5,72.6,1109335.0,80870521.5
US,NOW,2016-06-21,72.85,73.15,71.85,72.75,927385.0,67328151.0
US,NOW,2016-06-22,72.45,72.6,71.8,71.9,752421.0,54249554.1
US,NOW,2016-06-23,72.15,75.2,71.75,75.2,1363738.0,100984798.9
US,NOW,2016-06-24,72.55,73.2,70.2,70.35,2646512.0,188563980.0
US,NOW,2016-06-27,69.65,69.85,63.5,63.65,3034157.0,199192407.05
US,NOW,2016-06-28,65.0,65.7,63.9,65.15,2255859.0,146405249.1
US,NOW,2016-06-29,65.85,67.0,65.55,66.45,1484848.0,98519664.8
US,NOW,2016-06-30,67.0,67.0,64.9,66.4,1715843.0,113417222.3
US,NOW,2016-07-01,66.5,67.45,66.0,66.2,817326.0,54393045.3
US,NOW,2016-07-05,65.9,65.9,64.75,65.25,1539314.0,100517204.2
US,NOW,2016-07-06,65.05,65.55,64.3,65.35,1172012.0,76239380.6
US,NOW,2016-07-07,65.55,65.7,64.75,65.0,1304062.0,84959639.3
US,NOW,2016-07-08,65.4,69.65,65.4,69.1,2096440.0,142662742.0
US,NOW,2016-07-11,69.4,70.3,68.8,68.85,1135566.0,78694723.8
US,NOW,2016-07-12,69.35,72.35,68.1,70.45,1857952.0,130614025.6
US,NOW,2016-07-13,71.65,72.75,70.05,70.15,1821231.0,129307401.0
US,NOW,2016-07-14,70.85,71.25,70.15,70.15,842876.0,59422758.0
US,NOW,2016-07-15,71.45,71.65,70.35,71.0,1228539.0,87226269.0
US,NOW,2016-07-18,70.8,70.9,69.7,69.85,1429748.0,100296822.2
US,NOW,2016-07-19,69.85,70.9,69.65,70.0,939626.0,65961745.2
US,NOW,2016-07-20,70.7,73.4,70.1,72.65,1756030.0,126521961.5
US,NOW,2016-07-21,72.4,72.95,70.6,71.05,1358173.0,97177278.15
US,NOW,2016-07-22,71.55,73.15,70.75,72.65,1134037.0,81877471.4
US,NOW,2016-07-25,72.85,74.2,72.6,73.55,1383236.0,101598684.2
US,NOW,2016-07-26,73.55,74.0,72.95,73.35,1116241.0,81987901.45
US,NOW,2016-07-27,74.0,75.0,72.5,73.0,2139463.0,157250530.5
US,NOW,2016-07-28,75.4,78.75,74.15,76.4,3992020.0,305189929.0
US,NOW,2016-07-29,75.9,75.9,73.45,74.9,2495954.0,186572561.5
US,NOW,2016-08-01,74.8,75.45,74.05,75.05,1286323.0,96281276.55
US,NOW,2016-08-02,74.6,74.8,71.7,73.25,2148551.0,157381360.75
US,NOW,2016-08-03,72.8,74.4,72.5,74.25,2010546.0,148177240.2
US,NOW,2016-08-04,73.85,75.05,73.85,74.95,1716416.0,128044633.6
US,NOW,2016-08-05,75.1,76.0,74.9,75.85,883470.0,66790332.0
US,NOW,2016-08-08,75.0,75.65,74.65,74.95,1121147.0,84198139.7
US,NOW,2016-08-09,74.8,75.3,74.65,75.0,733195.0,54989625.0
US,NOW,2016-08-10,75.0,75.1,74.25,74.55,668005.0,49866573.25
US,NOW,2016-08-11,74.65,76.3,74.5,76.1,1264834.0,95684692.1
US,NOW,2016-08-12,75.55,75.8,74.95,75.75,1079668.0,81514934.0
US,NOW,2016-08-15,75.85,76.8,75.6,76.75,861718.0,65835255.2
US,NOW,2016-08-16,76.4,76.5,74.5,74.5,894985.0,67258122.75
US,NOW,2016-08-17,74.2,74.7,72.7,73.05,1168749.0,85903051.5
US,NOW,2016-08-18,73.25,73.65,72.5,73.05,1044619.0,76309417.95
US,NOW,2016-08-19,72.85,73.95,72.6,73.7,736346.0,54047796.4
US,NOW,2016-08-22,73.65,73.7,71.25,71.4,1350725.0,97387272.5
US,NOW,2016-08-23,72.0,73.0,71.8,72.6,1007115.0,72965481.75
US,NOW,2016-08-24,72.45,73.45,72.45,72.75,1017623.0,74184716.7
US,NOW,2016-08-25,73.15,74.9,72.8,73.6,1017641.0,75051023.75
US,NOW,2016-08-26,73.4,74.1,72.9,73.5,746541.0,54870763.5
US,NOW,2016-08-29,73.6,73.85,72.9,73.4,885062.0,64963550.8
US,NOW,2016-08-30,73.3,73.75,73.1,73.45,876233.0,64359313.85
US,NOW,2016-08-31,72.7,72.8,71.75,72.65,957094.0,69293605.6
US,NOW,2016-09-01,72.15,74.1,71.95,74.0,1548271.0,113565677.85
US,NOW,2016-09-02,74.1,76.85,74.1,76.25,1989430.0,150699322.5
US,NOW,2016-09-06,76.75,78.0,76.0,77.7,2139956.0,165311601.0
US,NOW,2016-09-07,77.4,78.4,76.5,76.55,1722373.0,132881076.95
US,NOW,2016-09-08,76.4,76.65,74.95,75.4,1155085.0,87382180.25
US,NOW,2016-09-09,74.8,75.35,73.35,73.6,844647.0,62588342.7
US,NOW,2016-09-12,73.2,74.7,72.7,74.55,704079.0,52101846.0
US,NOW,2016-09-13,73.6,74.25,71.35,72.4,1997559.0,145122661.35
US,NOW,2016-09-14,72.45,73.3,72.0,72.55,1296194.0,94103684.4
US,NOW,2016-09-15,73.25,77.75,73.0,77.7,3084280.0,234867922.0
US,NOW,2016-09-16,77.05,78.35,76.8,77.3,2113866.0,163824615.0
US,NOW,2016-09-19,77.9,78.2,75.9,76.0,924052.0,70874788.4
US,NOW,2016-09-20,75.5,76.1,74.8,75.3,1123760.0,84731504.0
US,NOW,2016-09-21,75.9,76.9,74.95,76.9,1128371.0,86038288.75
US,NOW,2016-09-22,77.45,78.15,76.9,77.9,1406611.0,109223344.15
US,NOW,2016-09-23,77.6,77.8,76.8,77.45,1205759.0,93265458.65
US,NOW,2016-09-26,77.15,77.25,76.4,76.75,909327.0,69836313.6
US,NOW,2016-09-27,76.5,79.2,76.35,79.05,1506608.0,117816745.6
US,NOW,2016-09-28,79.1,80.3,79.1,79.75,1893071.0,150877758.7
US,NOW,2016-09-29,79.4,80.1,77.75,78.5,1029109.0,81093789.2
US,NOW,2016-09-30,78.75,79.7,78.05,79.15,1568562.0,123837969.9
US,NOW,2016-10-03,79.05,79.7,78.4,79.55,1056940.0,83709648.0
US,NOW,2016-10-04,79.6,79.85,78.45,79.3,1442340.0,114233328.0
US,NOW,2016-10-05,78.95,80.0,78.8,79.45,1086840.0,86295096.0
US,NOW,2016-10-06,79.5,79.9,77.95,78.4,1168168.0,91993230.0
US,NOW,2016-10-07,78.15,78.95,77.45,78.5,1293602.0,101289036.6
US,NOW,2016-10-10,79.05,80.5,79.05,80.05,1057314.0,84426522.9
US,NOW,2016-10-11,80.25,80.8,78.35,78.8,1675097.0,132835192.1
US,NOW,2016-10-12,76.65,77.05,73.0,75.25,3203074.0,240550857.4
US,NOW,2016-10-13,74.75,75.6,73.85,75.4,1489802.0,111660659.9
US,NOW,2016-10-14,76.15,76.45,75.05,75.6,1583055.0,119837263.5
US,NOW,2016-10-17,75.75,75.75,74.25,74.65,1033351.0,77397989.9
US,NOW,2016-10-18,76.4,77.95,75.6,76.15,1001130.0,76636501.5
US,NOW,2016-10-19,79.15,80.15,78.15,78.9,3482142.0,275263325.1
US,NOW,2016-10-20,78.7,79.0,78.2,78.85,1561609.0,122898628.3
US,NOW,2016-10-21,78.45,80.25,78.2,80.05,1455525.0,115714237.5
US,NOW,2016-10-24,80.4,81.6,80.15,81.0,2127724.0,172132871.6
US,NOW,2016-10-25,81.15,81.95,79.4,79.8,2117239.0,170226015.6
US,NOW,2016-10-26,79.5,80.0,78.6,78.9,2242525.0,177495853.75
US,NOW,2016-10-27,86.8,89.8,84.55,84.95,11112508.0,960676316.6
US,NOW,2016-10-28,85.2,87.4,84.6,86.1,3102464.0,266967027.2
US,NOW,2016-10-31,86.15,88.05,85.9,87.9,2791216.0,243673156.8
US,NOW,2016-11-01,87.45,87.55,85.9,86.9,2562567.0,222430815.6
US,NOW,2016-11-02,86.0,86.9,84.55,84.6,1646865.0,140559927.75
US,NOW,2016-11-03,84.55,85.1,83.55,83.9,1629410.0,137196322.0
US,NOW,2016-11-04,84.0,84.75,83.1,83.2,1630869.0,136503735.3
US,NOW,2016-11-07,84.75,85.8,84.4,85.1,1409596.0,119956619.6
US,NOW,2016-11-08,84.45,86.0,83.75,85.5,1136227.0,96692917.7
US,NOW,2016-11-09,84.0,86.05,83.35,85.0,1358350.0,115188080.0
US,NOW,2016-11-10,85.75,87.7,82.05,82.15,2601144.0,218366038.8
US,NOW,2016-11-11,81.8,82.85,80.5,82.65,1852162.0,151877284.0
US,NOW,2016-11-14,82.9,83.9,82.3,83.25,1359444.0,113037768.6
US,NOW,2016-11-15,83.45,86.2,83.2,85.6,1653943.0,140585155.0
US,NOW,2016-11-16,85.25,86.05,84.9,85.65,1065905.0,91188172.75
US,NOW,2016-11-17,85.75,87.15,85.5,86.85,917255.0,79342557.5
US,NOW,2016-11-18,87.0,87.8,85.5,85.75,1248546.0,107811947.1
US,NOW,2016-11-21,85.8,87.0,85.75,86.55,1505599.0,130159033.55
US,NOW,2016-11-22,86.25,86.7,85.4,86.25,1344996.0,115804155.6
US,NOW,2016-11-23,85.95,87.65,85.95,87.05,1353119.0,117586041.1
US,NOW,2016-11-25,86.9,88.4,86.5,87.75,718930.0,62942321.5
US,NOW,2016-11-28,87.7,88.4,84.55,84.8,1816848.0,156067243.2
US,NOW,2016-11-29,84.85,85.5,83.25,83.4,1562407.0,131320308.35
US,NOW,2016-11-30,84.25,84.75,82.65,83.15,1564186.0,130609531.0
US,NOW,2016-12-01,83.2,83.5,76.35,77.1,3124329.0,246821991.0
US,NOW,2016-12-02,72.85,76.7,72.8,76.55,3103089.0,233817756.15
US,NOW,2016-12-05,77.35,79.95,77.25,79.85,2173346.0,171694334.0
US,NOW,2016-12-06,80.0,80.0,78.45,79.6,1657435.0,131517467.25
US,NOW,2016-12-07,80.15,80.15,78.25,80.0,1414246.0,112361844.7
US,NOW,2016-12-08,80.4,80.8,79.5,80.1,1299116.0,104124147.4
US,NOW,2016-12-09,80.75,81.6,79.2,79.4,903245.0,72304762.25
US,NOW,2016-12-12,78.85,78.85,76.75,77.9,1691741.0,131702036.85
US,NOW,2016-12-13,78.7,80.7,78.7,79.4,864166.0,68787613.6
US,NOW,2016-12-14,79.6,79.65,78.6,78.95,1008189.0,79697340.45
US,NOW,2016-12-15,78.95,80.25,78.85,79.45,741635.0,58959982.5
US,NOW,2016-12-16,79.45,79.9,77.25,77.85,1338169.0,104845541.15
US,NOW,2016-12-19,77.7,78.1,77.2,77.5,975034.0,75662638.4
US,NOW,2016-12-20,78.1,78.5,77.2,78.3,908141.0,70834998.0
US,NOW,2016-12-21,78.05,78.05,76.05,77.25,1019124.0,78574460.4
US,NOW,2016-12-22,76.9,77.05,74.15,74.55,1365723.0,102770655.75
US,NOW,2016-12-23,74.6,76.05,74.35,76.0,606386.0,45751823.7
US,NOW,2016-12-27,76.0,77.4,76.0,76.9,548964.0,42132987.0
US,NOW,2016-12-28,76.75,77.05,75.15,75.2,978567.0,74175378.6
US,NOW,2016-12-29,75.15,75.6,74.2,74.95,759391.0,56878385.9
US,NOW,2016-12-30,75.1,75.45,73.65,74.35,1052231.0,78391209.5
US,NOW,2017-01-03,75.3,77.0,74.65,75.65,1101913.0,83469909.75
US,NOW,2017-01-04,76.1,79.0,75.9,78.85,2015451.0,157003632.9
US,NOW,2017-01-05,78.7,79.65,78.35,79.15,1564220.0,123651591.0
US,NOW,2017-01-06,79.25,82.4,78.9,82.1,1686780.0,136882197.0
US,NOW,2017-01-09,81.8,82.55,81.3,82.0,1339353.0,109759978.35
US,NOW,2017-01-10,82.25,82.45,81.15,81.65,1269004.0,103741077.0
US,NOW,2017-01-11,81.25,84.9,81.25,83.9,2084836.0,173771080.6
US,NOW,2017-01-12,83.0,83.75,80.9,83.45,1398180.0,115629486.0
US,NOW,2017-01-13,83.8,84.0,82.65,83.55,745882.0,62206558.8
US,NOW,2017-01-17,83.1,83.25,81.3,81.4,879997.0,72159754.0
US,NOW,2017-01-18,83.0,84.35,82.7,82.85,1466314.0,122143956.2
US,NOW,2017-01-19,82.95,83.6,82.4,82.7,1302282.0,107959177.8
US,NOW,2017-01-20,83.1,84.25,83.1,83.4,1251978.0,104665360.8
