country,code,fiscal_year,period,report_date,release_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_equity,debt_to_assets,ocf_to_revenue,fcf_margin,accrual_ratio,revenue_yoy,revenue_qoq,net_income_yoy,net_income_qoq,eps_yoy,revenue_ttm,net_income_ttm,eps_ttm,net_margin_ttm,roe_ttm,revenue_ttm_yoy,net_income_ttm_yoy,eps_basic
US,PANW,2016,Q4,2016-07-31,2016-09-08,0.7462574850299402,-0.10653692614770459,-0.13597804391217566,-0.07165866806916048,-0.020316111235368674,2.0949456778460087,2.4956323585263958,0.6896998110699042,0.46781437125748504,0.42714570858283435,-0.09021098933870127,0.41186914142997555,0.15905147484094861,,,,1378500000.0,-225900000.0,-0.4235095613048369,-0.16387377584330795,-0.2970218920518046,0.48536935430342276,,-0.10217472815898013
US,PANW,2017,Q1,2016-10-31,2016-11-21,0.7455413212760613,-0.11680482290881689,-0.15523737754333083,-0.07235686687741483,-0.021075246815693897,1.3319294739096295,2.2739845366437983,0.6945617828039248,0.5106757096206983,0.4581763376036172,-0.09040530632427916,0.3395020188425302,-0.006736526946107824,,,,1479400000.0,-249000000.0,-0.4621380846325167,-0.16831147762606463,-0.29153494906919564,0.43226973219247444,,-0.11469933184855234
US,PANW,2017,Q2,2017-01-31,2017-02-28,0.7321344060577378,-0.12233790818741126,-0.14339801230477994,-0.0677511319805467,-0.019608160359806507,1.892512077294686,2.64645072363887,0.7257607257607258,0.5075721722669191,0.40179839091339326,-0.08901328242545825,0.26262324469674336,0.061542326048731555,,,,1567300000.0,-247100000.0,-0.45406100698272694,-0.1576596694953104,-0.276259153669853,0.36292763778630577,,-0.1113561190738699
US,PANW,2017,Q3,2017-04-30,2017-05-31,0.7135247799907365,-0.10884668828161186,-0.14103751736915238,-0.07234067826810002,-0.01895808364592899,1.796909073670238,2.9971713196408807,0.7498230823666964,0.4891153311718388,0.3765632237146827,-0.0847043441717123,0.2486986697513014,0.021769995267392428,,,,1653300000.0,-237800000.0,-0.43553113553113554,-0.1438335450311498,-0.28247312466591434,0.31050057110969664,,-0.11153846153846154
US,PANW,2017,Q4,2017-07-31,2017-09-07,0.7279512865841682,-0.04792771557650756,-0.07503437438617168,-0.04857887709035417,-0.011422761796543269,1.6451344376925,3.5264612954186414,0.7790768693831254,0.47043802789235906,0.37379689648399134,-0.08303929190837868,0.27020958083832336,0.17901806391848085,,,,1761600000.0,-221500000.0,-0.4061239457279061,-0.1257379654859219,-0.2816811852228651,0.2779107725788901,,-0.07004033736707004
US,PANW,2018,Q1,2017-10-31,2017-11-20,0.7202769535113749,-0.0963402571711177,-0.12660731948565776,-0.08741378132896264,-0.018484288354898338,1.170109007458405,3.9474953881084147,0.7978775276064821,0.5422354104846686,0.47853610286844706,-0.09764902957486137,0.26978146194423513,-0.00707130229817321,,,,1869000000.0,-223700000.0,-0.41015768243491013,-0.1196896736222579,-0.30553848255138977,0.26335000675949716,,-0.11734506784011735
US,PANW,2018,Q2,2018-01-31,2018-02-26,0.7063053097345132,-0.032448377581120944,-0.06434365781710914,-0.050900605265076934,-0.009811639021647455,1.1905839258780435,4.441794179417942,0.816237077877326,0.4492994100294985,0.4021017699115044,-0.07832443070002812,0.28348319924278287,0.07299703264094948,,,,1988800000.0,-198000000.0,-0.36223929747530187,-0.09955752212389381,-0.28877707285057974,0.26893383525808723,,-0.06384924990852543
US,PANW,2018,Q3,2018-04-30,2018-06-04,0.7180391465350027,-0.06471521777464292,-0.0823487921001587,-0.06594182434340581,-0.0123941718198466,1.1350419432865009,4.212456655108029,0.8081518818923829,0.4254981484746958,0.3747134544172104,-0.0764351495528013,0.3133395090319593,0.045538348082595936,,,,2124100000.0,-183800000.0,-0.3333333333333333,-0.08653076597147027,-0.2595312058740469,0.28476380572188953,,-0.08469350743561843
US,PANW,2018,Q4,2018-07-31,2018-09-13,0.71934356480778,0.028567087068834523,-0.003494909588208479,-0.0026465680915942697,-0.0004727014890096904,1.9313826306441058,4.891935647070728,0.8302764897818994,0.42227624981005923,0.38368029174897433,-0.05758737270457184,0.29267334511883725,0.1604655263621937,,,,2273100000.0,-147900000.0,-0.265625,-0.06506532928599709,-0.17018583510730106,0.29036103542234337,,-0.004130747126436782
US,PANW,2019,Q1,2018-10-31,2018-11-30,0.7202743902439024,-0.029115853658536587,-0.05838414634146342,-0.03407170180588916,-0.0065895307325046235,2.101228176460869,3.6047305341693785,0.7828320262001207,0.38460365853658535,0.3323170731707317,-0.04999784936986537,0.2977250247279921,-0.0031910044066251197,,,,2423600000.0,-122200000.0,-0.21712864250177683,-0.050420861528305,-0.10870918957388133,0.2967362225789192,,-0.06805259417199716
US,PANW,2019,Q2,2019-01-31,2019-02-26,0.7151293588301463,0.031777277840269964,-0.003655793025871766,-0.002227457699721568,-0.00045182031453644975,1.8667701530885343,4.311278615298716,0.8117214191852825,0.3872328458942632,0.35419010123734535,-0.04831001824658963,0.3112094395280236,0.08414634146341471,,,,2592400000.0,-89900000.0,-0.15939716312056737,-0.03467829038728591,-0.07701863354037267,0.30349959774738533,,-0.004609929078014184
US,PANW,2019,Q3,2019-04-30,2019-05-29,0.718001651527663,-0.0006881365262868153,-0.027800715661987337,-0.015973430333702358,-0.0033753018138069895,1.859865919551731,3.3048260690224116,0.7677025775336165,0.4079273327828241,0.37998898981557944,-0.05290200763620262,0.2812555104919767,0.021653543307086576,,,,2751900000.0,-63400000.0,-0.11193502824858757,-0.0230386278571169,-0.05013442985924403,0.2955604726707781,,-0.0356638418079096
US,PANW,2019,Q4,2019-07-31,2019-09-09,0.7302060064532142,0.00781831720029784,-0.025812856788284936,-0.013680160478805617,-0.003236346662517504,1.7848341693858667,3.1557082519069533,0.7593671308516126,0.2872921320426905,0.22139488706875154,-0.03925626264197915,0.2244339765993011,0.10900082576383152,,,,2899600000.0,-81900000.0,-0.1426332288401254,-0.028245275210373844,-0.05386563188529712,0.27561479917293563,,-0.03622431208638105
US,PANW,2020,Q1,2019-10-31,2019-11-25,0.7179686487887031,-0.046119963725871224,-0.07721207410286307,-0.038418151932188095,-0.008884251322948499,1.7790017547280172,3.5006594566077553,0.7778103387645059,0.2917476357041067,0.23059981862935613,-0.042453603637176714,0.17667682926829276,-0.04206999255398358,,,,3015500000.0,-103200000.0,-0.17805383022774326,-0.03422318023545017,-0.06652270603023173,0.24422346921934324,,-0.1028295376121463
US,PANW,2020,Q2,2020-01-31,2020-02-24,0.7145830782417044,-0.051548916370760374,-0.09024121464430024,-0.04716950942430158,-0.01052188251754242,1.7763786559499888,3.4663350948088283,0.7761027825336507,0.3757805803844741,0.3156605852822334,-0.05433688583686085,0.14834083239595053,0.058038606037051466,,,,3121000000.0,-174300000.0,-0.2955239064089522,-0.05584748478051906,-0.1115555697782329,0.20390371856195033,,-0.12495761275008477
US,PANW,2020,Q3,2020-04-30,2020-05-21,0.7028985507246377,-0.05567057740970784,-0.08603634690591212,-0.06357300696923339,-0.010930958139398943,1.290405445904868,7.730764066066873,0.8854624873112061,0.1954221302047389,0.09615827007131356,-0.03575943123945082,0.19653179190751446,0.06452797844985914,,,,3263800000.0,-228900000.0,-0.3945191313340228,-0.07013297383418102,-0.19454360020397757,0.18601693375486028,,-0.12892106170286108
