country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,PANW,2016-06-13,0.889,0.889,117.0813,117.0813,1.0,0.013178695163104612
US,PANW,2016-06-14,0.889,0.889,115.80114,115.80114,1.0,0.013895658042744657
US,PANW,2016-06-15,0.889,0.889,116.49456,116.49456,1.0,0.02250439820022497
US,PANW,2016-06-16,0.889,0.889,115.53444,115.53444,1.0,0.022836096737907763
US,PANW,2016-06-17,0.889,0.889,114.04092,114.04092,1.0,0.022036767941507312
US,PANW,2016-06-20,0.889,0.889,113.93424,113.93424,1.0,0.013702339707536558
US,PANW,2016-06-21,0.889,0.889,112.76076,112.76076,1.0,0.019531829808773903
US,PANW,2016-06-22,0.889,0.889,110.73384,110.73384,1.0,0.013676985376827896
US,PANW,2016-06-23,0.889,0.889,112.60074,112.60074,1.0,0.016003828233970754
US,PANW,2016-06-24,0.889,0.889,108.2802,108.2802,1.0,0.03202140236220472
US,PANW,2016-06-27,0.889,0.889,103.79964,103.79964,1.0,0.03311563183352081
US,PANW,2016-06-28,0.889,0.889,105.29316,105.29316,1.0,0.014843532058492688
US,PANW,2016-06-29,0.889,0.889,109.50702,109.50702,1.0,0.02165976006749156
US,PANW,2016-06-30,0.889,0.889,109.02696,109.02696,1.0,0.016826449156355457
US,PANW,2016-07-01,0.889,0.889,107.64012,107.64012,1.0,0.012405343082114736
US,PANW,2016-07-05,0.889,0.889,105.66654,105.66654,1.0,0.014049100112485939
US,PANW,2016-07-06,0.889,0.889,106.62666,106.62666,1.0,0.010866171766029246
US,PANW,2016-07-07,0.889,0.889,108.12018,108.12018,1.0,0.010857206636670417
US,PANW,2016-07-08,0.889,0.889,111.96066,111.96066,1.0,0.017171735995500564
US,PANW,2016-07-11,0.889,0.889,113.82756,113.82756,1.0,0.01901485568053993
US,PANW,2016-07-12,0.889,0.889,112.8141,112.8141,1.0,0.01771612294713161
US,PANW,2016-07-13,0.889,0.889,113.18748,113.18748,1.0,0.010116284251968505
US,PANW,2016-07-14,0.889,0.889,110.78718,110.78718,1.0,0.015291724746906637
US,PANW,2016-07-15,0.889,0.889,109.93374,109.93374,1.0,0.010283123397075366
US,PANW,2016-07-18,0.889,0.889,110.25378,110.25378,1.0,0.009689141394825648
US,PANW,2016-07-19,0.889,0.889,111.53394,111.53394,1.0,0.011791664791901012
US,PANW,2016-07-20,0.889,0.889,115.10772,115.10772,1.0,0.017543749493813276
US,PANW,2016-07-21,0.889,0.889,112.5474,112.5474,1.0,0.014351327334083239
US,PANW,2016-07-22,0.889,0.889,115.10772,115.10772,1.0,0.011044664454443196
US,PANW,2016-07-25,0.889,0.889,116.92128,116.92128,1.0,0.014352317210348707
US,PANW,2016-07-26,0.889,0.889,118.20144,118.20144,1.0,0.019745429358830145
US,PANW,2016-07-27,0.889,0.889,116.49456,116.49456,1.0,0.010852335995500563
US,PANW,2016-07-28,0.889,0.889,117.93474,117.93474,1.0,0.01038865770528684
US,PANW,2016-07-29,0.889,0.889,116.33454,116.33454,1.0,0.018487810236220474
US,PANW,2016-08-01,0.898,0.898,115.35708,115.35708,1.0,0.011751748329621382
US,PANW,2016-08-02,0.898,0.898,115.3032,115.3032,1.0,0.013968741648106905
US,PANW,2016-08-03,0.898,0.898,116.3808,116.3808,1.0,0.007499060913140313
US,PANW,2016-08-04,0.898,0.898,118.05108,118.05108,1.0,0.013272895322939866
US,PANW,2016-08-05,0.898,0.898,118.32048,118.32048,1.0,0.013140144766146993
US,PANW,2016-08-08,0.898,0.898,115.3032,115.3032,1.0,0.00874545289532294
US,PANW,2016-08-09,0.898,0.898,117.51228,117.51228,1.0,0.01332924276169265
US,PANW,2016-08-10,0.898,0.898,112.28592,112.28592,1.0,0.023168986636971048
US,PANW,2016-08-11,0.898,0.898,112.66308,112.66308,1.0,0.010616388307349666
US,PANW,2016-08-12,0.898,0.898,114.2256,114.2256,1.0,0.011857817371937638
US,PANW,2016-08-15,0.898,0.898,117.62004,117.62004,1.0,0.015508689643652563
US,PANW,2016-08-16,0.898,0.898,121.7688,121.7688,1.0,0.02578816258351893
US,PANW,2016-08-17,0.898,0.898,122.19984,122.19984,1.0,0.019806198997772827
US,PANW,2016-08-18,0.898,0.898,123.1158,123.1158,1.0,0.010915686748329621
US,PANW,2016-08-19,0.898,0.898,122.79252,122.79252,1.0,0.011281870824053452
US,PANW,2016-08-22,0.898,0.898,123.49296,123.49296,1.0,0.010883303674832963
US,PANW,2016-08-23,0.898,0.898,127.58784,127.58784,1.0,0.02275574610244989
US,PANW,2016-08-24,0.898,0.898,126.02532,126.02532,1.0,0.017975493652561247
US,PANW,2016-08-25,0.898,0.898,126.0792,126.0792,1.0,0.014639298440979956
US,PANW,2016-08-26,0.898,0.898,126.3486,126.3486,1.0,0.013202138084632517
US,PANW,2016-08-29,0.898,0.898,127.04904,127.04904,1.0,0.012688975501113586
US,PANW,2016-08-30,0.898,0.898,128.82708,128.82708,1.0,0.03857703040089087
US,PANW,2016-08-31,0.898,0.898,119.55972,119.55972,1.0,0.09206064587973274
US,PANW,2016-09-01,0.898,0.898,126.29472,126.29472,1.0,0.054687490757238305
US,PANW,2016-09-02,0.898,0.898,130.3896,130.3896,1.0,0.03145750189309577
US,PANW,2016-09-06,0.898,0.898,130.17408,130.17408,1.0,0.018058611692650335
US,PANW,2016-09-07,0.898,0.898,132.2754,132.2754,1.0,0.02039274688195991
US,PANW,2016-09-08,0.898,0.898,132.006,132.006,1.0,0.01767139565701559
US,PANW,2016-09-09,0.898,0.898,129.68916,129.68916,1.0,0.015887197438752786
US,PANW,2016-09-12,0.898,0.898,132.11376,132.11376,1.0,0.017657954677060134
US,PANW,2016-09-13,0.898,0.898,132.05988,132.05988,1.0,0.017114947995545658
US,PANW,2016-09-14,0.898,0.898,133.19136,133.19136,1.0,0.022989164810690424
US,PANW,2016-09-15,0.898,0.898,133.353,133.353,1.0,0.015866674053452115
US,PANW,2016-09-16,0.898,0.898,133.8918,133.8918,1.0,0.021520720155902003
US,PANW,2016-09-19,0.898,0.898,135.34656,135.34656,1.0,0.012027026726057906
US,PANW,2016-09-20,0.898,0.898,134.75388,134.75388,1.0,0.010562891648106905
US,PANW,2016-09-21,0.898,0.898,134.37672,134.37672,1.0,0.014627806236080178
US,PANW,2016-09-22,0.898,0.898,137.01684,137.01684,1.0,0.013849632516703786
US,PANW,2016-09-23,0.898,0.898,135.7776,135.7776,1.0,0.012145846325167037
US,PANW,2016-09-26,0.898,0.898,134.53836,134.53836,1.0,0.011938118040089088
US,PANW,2016-09-27,0.898,0.898,136.42416,136.42416,1.0,0.009911555345211582
US,PANW,2016-09-28,0.898,0.898,138.79488,138.79488,1.0,0.014187338530066816
US,PANW,2016-09-29,0.898,0.898,140.14188,140.14188,1.0,0.020664038641425388
US,PANW,2016-09-30,0.898,0.898,143.0514,143.0514,1.0,0.01944123240534521
US,PANW,2016-10-03,0.898,0.898,142.83588,142.83588,1.0,0.01217771714922049
US,PANW,2016-10-04,0.898,0.898,143.69796,143.69796,1.0,0.012076481069042317
US,PANW,2016-10-05,0.898,0.898,144.88332,144.88332,1.0,0.013901759465478843
US,PANW,2016-10-06,0.898,0.898,143.3208,143.3208,1.0,0.014925326614699332
US,PANW,2016-10-07,0.898,0.898,143.5902,143.5902,1.0,0.00846772461024499
US,PANW,2016-10-10,0.898,0.898,143.42856,143.42856,1.0,0.011590790645879733
US,PANW,2016-10-11,0.898,0.898,139.60308,139.60308,1.0,0.01821789899777283
US,PANW,2016-10-12,0.898,0.898,138.4716,138.4716,1.0,0.03285285824053452
US,PANW,2016-10-13,0.898,0.898,135.93924,135.93924,1.0,0.01943024131403118
US,PANW,2016-10-14,0.898,0.898,135.13104,135.13104,1.0,0.009617234632516704
US,PANW,2016-10-17,0.898,0.898,131.09004,131.09004,1.0,0.01646268741648107
US,PANW,2016-10-18,0.898,0.898,133.29912,133.29912,1.0,0.009923693429844099
US,PANW,2016-10-19,0.898,0.898,133.02972,133.02972,1.0,0.007091306570155901
US,PANW,2016-10-20,0.898,0.898,133.40688,133.40688,1.0,0.00976219008908686
US,PANW,2016-10-21,0.898,0.898,134.86164,134.86164,1.0,0.01173379732739421
US,PANW,2016-10-24,0.898,0.898,136.047,136.047,1.0,0.010314049777282851
US,PANW,2016-10-25,0.898,0.898,134.53836,134.53836,1.0,0.008216967371937639
US,PANW,2016-10-26,0.898,0.898,135.99312,135.99312,1.0,0.00871706759465479
US,PANW,2016-10-27,0.898,0.898,134.37672,134.37672,1.0,0.007373745322939866
US,PANW,2016-10-28,0.898,0.898,136.10088,136.10088,1.0,0.006650950222717149
US,PANW,2016-10-31,0.907,0.907,139.53288,139.53288,1.0,0.01174348401323043
US,PANW,2016-11-01,0.907,0.907,137.6826,137.6826,1.0,0.01104869900771775
US,PANW,2016-11-02,0.907,0.907,133.16574,133.16574,1.0,0.01256915104740904
US,PANW,2016-11-03,0.907,0.907,132.07734,132.07734,1.0,0.010921352480705623
US,PANW,2016-11-04,0.907,0.907,134.25414,134.25414,1.0,0.017341028996692393
US,PANW,2016-11-07,0.907,0.907,138.2268,138.2268,1.0,0.015489970562293275
US,PANW,2016-11-08,0.907,0.907,138.71658,138.71658,1.0,0.012108985667034179
US,PANW,2016-11-09,0.907,0.907,144.213,144.213,1.0,0.02014536571113561
US,PANW,2016-11-10,0.907,0.907,137.79144,137.79144,1.0,0.02596288125689085
US,PANW,2016-11-11,0.907,0.907,141.492,141.492,1.0,0.014758515214994487
US,PANW,2016-11-14,0.907,0.907,141.87294,141.87294,1.0,0.010830602756339581
US,PANW,2016-11-15,0.907,0.907,144.59394,144.59394,1.0,0.013091786108048512
US,PANW,2016-11-16,0.907,0.907,145.51908,145.51908,1.0,0.012168687982359427
US,PANW,2016-11-17,0.907,0.907,148.89312,148.89312,1.0,0.018614957772877617
US,PANW,2016-11-18,0.907,0.907,146.33538,146.33538,1.0,0.017816122712238147
US,PANW,2016-11-21,0.907,0.907,146.06328,146.06328,1.0,0.050391602315325246
US,PANW,2016-11-22,0.907,0.907,126.74418,126.74418,1.0,0.12989015435501655
US,PANW,2016-11-23,0.907,0.907,126.68976,126.68976,1.0,0.02496997794928335
US,PANW,2016-11-25,0.907,0.907,128.32236,128.32236,1.0,0.011325689084895259
US,PANW,2016-11-28,0.907,0.907,123.58782,123.58782,1.0,0.03558220507166483
US,PANW,2016-11-29,0.907,0.907,121.13892,121.13892,1.0,0.029127655237045205
US,PANW,2016-11-30,0.907,0.907,121.84638,121.84638,1.0,0.018202848180815877
US,PANW,2016-12-01,0.907,0.907,117.5472,117.5472,1.0,0.02428970231532525
US,PANW,2016-12-02,0.907,0.907,114.88062,114.88062,1.0,0.028729926460859978
US,PANW,2016-12-05,0.907,0.907,116.94858,116.94858,1.0,0.026861326681367145
US,PANW,2016-12-06,0.907,0.907,117.32952,117.32952,1.0,0.015183829437706726
US,PANW,2016-12-07,0.907,0.907,117.32952,117.32952,1.0,0.016495031201764057
