country,code,time,open,high,low,close,volume,amount
US,PANW,2016-06-13,130.32,134.46,130.08,131.7,1171586.0,154227581.04
US,PANW,2016-06-14,132.06,133.26,129.72,130.26,1235324.0,162228924.3
US,PANW,2016-06-15,131.16,133.14,130.56,131.04,2000641.0,263034275.475
US,PANW,2016-06-16,129.84,130.44,127.68,129.96,2030129.0,262861102.92
US,PANW,2016-06-17,129.96,130.38,126.9,128.28,1959068.67,252484770.1896
US,PANW,2016-06-20,130.08,130.56,127.98,128.16,1218138.0,157377338.91
US,PANW,2016-06-21,127.56,128.46,125.94,126.84,1736379.67,220867494.024
US,PANW,2016-06-22,127.08,127.44,124.26,124.56,1215884.0,153000763.14
US,PANW,2016-06-23,126.24,127.02,125.1,126.66,1422740.33,179628080.3642
US,PANW,2016-06-24,122.16,124.56,121.02,121.8,2846702.67,348393706.2679
US,PANW,2016-06-27,120.96,121.08,114.66,116.76,2943979.67,348464153.6395
US,PANW,2016-06-28,119.04,120.42,116.82,118.44,1319590.0,156608941.2
US,PANW,2016-06-29,119.94,124.5,119.94,123.18,1925552.67,234705614.9463
US,PANW,2016-06-30,123.48,125.76,121.32,122.64,1495871.33,184440934.989
US,PANW,2016-07-01,122.64,124.08,120.66,121.08,1102835.0,134672696.025
US,PANW,2016-07-05,120.06,120.6,117.78,118.86,1248965.0,149032748.625
US,PANW,2016-07-06,118.02,120.96,117.0,119.94,966002.67,114934997.6766
US,PANW,2016-07-07,120.24,122.58,119.7,121.62,965205.67,116823668.2685
US,PANW,2016-07-08,122.28,126.6,121.5,125.94,1526567.33,189416474.3064
US,PANW,2016-07-11,126.18,128.7,126.12,128.04,1690420.67,215122934.4642
US,PANW,2016-07-12,127.38,128.46,124.74,126.9,1574963.33,199815597.6771
US,PANW,2016-07-13,126.96,128.46,126.84,127.32,899337.67,114571122.4697
US,PANW,2016-07-14,128.58,129.6,124.02,124.62,1359434.33,172247126.7827
US,PANW,2016-07-15,124.92,125.52,123.12,123.66,914169.67,113635860.8294
US,PANW,2016-07-18,123.96,124.98,123.42,124.02,861364.67,106891048.7237
US,PANW,2016-07-19,125.04,127.08,124.08,125.46,1048279.0,131469910.785
US,PANW,2016-07-20,126.6,130.68,126.18,129.48,1559639.33,200000349.4825
US,PANW,2016-07-21,129.18,130.2,125.76,126.6,1275833.0,163223694.855
US,PANW,2016-07-22,129.3,130.14,127.2,129.48,981870.67,126690772.5501
US,PANW,2016-07-25,129.54,132.96,129.06,131.52,1275921.0,166852189.17
US,PANW,2016-07-26,130.26,133.38,129.66,132.96,1755368.67,230945079.0685
US,PANW,2016-07-27,133.74,134.7,130.68,131.04,964772.67,127870969.6818
US,PANW,2016-07-28,132.24,133.44,130.62,132.66,923551.67,122130472.8408
US,PANW,2016-07-29,130.2,132.06,128.88,130.86,1643566.33,214485406.065
US,PANW,2016-08-01,130.86,131.46,127.62,128.46,1055307.0,136767787.2
US,PANW,2016-08-02,128.4,129.24,125.46,128.4,1254393.0,160405504.875
US,PANW,2016-08-03,128.4,129.9,127.74,129.6,673415.67,86810014.0197
US,PANW,2016-08-04,130.02,132.12,129.84,131.46,1191906.0,155972819.16
US,PANW,2016-08-05,130.32,131.88,128.64,131.76,1179985.0,154165040.25
US,PANW,2016-08-08,132.0,132.0,128.34,128.4,785341.67,102239705.309
US,PANW,2016-08-09,128.28,131.04,128.04,130.86,1196966.0,155072930.13
US,PANW,2016-08-10,127.98,128.34,124.74,125.04,2080575.0,263244751.875
US,PANW,2016-08-11,125.46,126.54,124.98,125.46,953351.67,119750503.2687
US,PANW,2016-08-12,125.46,128.1,125.1,127.2,1064832.0,134663978.88
US,PANW,2016-08-15,127.14,131.16,126.54,130.98,1392680.33,179593091.9552
US,PANW,2016-08-16,131.28,137.28,131.28,135.6,2315777.0,309989909.22
US,PANW,2016-08-17,137.28,139.08,133.62,136.08,1778596.67,242805124.4051
US,PANW,2016-08-18,136.08,137.7,133.8,137.1,980228.67,133477737.9939
US,PANW,2016-08-19,136.2,137.1,134.04,136.74,1013112.0,137803494.24
US,PANW,2016-08-22,137.64,138.36,135.84,137.52,977320.67,134225220.8178
US,PANW,2016-08-23,139.68,143.34,138.78,142.08,2043466.0,288067402.02
US,PANW,2016-08-24,142.02,143.22,140.04,140.34,1614199.33,228255856.2587
US,PANW,2016-08-25,140.82,142.38,139.68,140.4,1314609.0,185123239.38
US,PANW,2016-08-26,140.1,141.36,138.6,140.7,1185552.0,166202534.88
US,PANW,2016-08-29,141.24,142.44,139.44,141.48,1139470.0,160836190.5
US,PANW,2016-08-30,141.66,144.24,141.0,143.46,3464217.33,493962749.0847
US,PANW,2016-08-31,134.94,135.72,130.14,133.14,8267046.0,1103526635.31
US,PANW,2016-09-01,133.26,141.36,133.26,140.64,4910936.67,673436745.5571
US,PANW,2016-09-02,140.88,146.04,139.62,145.2,2824883.67,403774747.3715
US,PANW,2016-09-06,145.14,147.72,144.36,144.96,1621663.33,236024989.3649
US,PANW,2016-09-07,145.02,148.74,145.02,147.3,1831268.67,268317485.5284
US,PANW,2016-09-08,147.0,148.38,146.52,147.0,1586891.33,233630076.0593
US,PANW,2016-09-09,146.04,148.44,144.36,144.42,1426670.33,208029934.1689
US,PANW,2016-09-12,143.88,147.48,142.5,147.12,1585684.33,230312720.5109
US,PANW,2016-09-13,147.06,148.86,144.96,147.06,1536922.33,225904528.675
US,PANW,2016-09-14,146.64,150.48,146.4,148.32,2064427.0,305452618.92
US,PANW,2016-09-15,148.74,150.84,148.2,148.5,1424827.33,212399010.0831
US,PANW,2016-09-16,147.12,149.82,147.0,149.1,1932560.67,286521444.9342
US,PANW,2016-09-19,150.0,151.98,149.46,150.72,1080027.0,162587264.58
US,PANW,2016-09-20,151.02,151.98,150.06,150.06,948547.67,143022017.6826
US,PANW,2016-09-21,149.82,150.0,148.14,149.64,1313577.0,196248403.8
US,PANW,2016-09-22,150.66,153.24,150.42,152.58,1243697.0,188699927.325
US,PANW,2016-09-23,153.24,154.14,150.96,151.2,1090697.0,166205862.345
US,PANW,2016-09-26,149.94,150.72,148.86,149.82,1072043.0,160629562.905
US,PANW,2016-09-27,150.0,151.98,149.58,151.92,890057.67,134283000.6729
US,PANW,2016-09-28,152.28,154.8,151.98,154.56,1274023.0,195441498.315
US,PANW,2016-09-29,154.14,157.44,153.66,156.06,1855630.67,288225833.8177
US,PANW,2016-09-30,156.18,160.02,156.18,159.3,1745822.67,275700316.0464
US,PANW,2016-10-03,159.06,159.72,156.54,159.06,1093559.0,173432989.605
US,PANW,2016-10-04,159.0,160.92,158.16,160.02,1084468.0,172999757.7
US,PANW,2016-10-05,159.6,163.02,159.42,161.34,1248378.0,200795359.41
US,PANW,2016-10-06,160.92,160.92,158.34,159.6,1340294.33,214373376.6118
