country,code,time,open,high,low,close,volume,amount
US,PLTR,2020-09-30,10.0,11.42,9.11,9.5,338549492.0,3493830757.44
US,PLTR,2020-10-01,9.69,10.1,9.23,9.46,129660350.0,1243442756.5
US,PLTR,2020-10-02,9.06,9.28,8.94,9.2,56343795.0,514418848.35
US,PLTR,2020-10-05,9.43,9.49,8.92,9.03,36951976.0,336632501.36
US,PLTR,2020-10-06,9.04,10.18,8.9,9.9,91313619.0,883915831.92
US,PLTR,2020-10-07,10.04,10.49,9.99,10.0,55469945.0,568566936.25
US,PLTR,2020-10-08,10.29,10.4,9.99,10.0,35995168.0,367150713.6
US,PLTR,2020-10-09,10.13,10.19,9.89,9.95,20204367.0,202447757.34
US,PLTR,2020-10-12,10.04,10.05,9.66,9.89,20975708.0,208498537.52
US,PLTR,2020-10-13,9.88,9.88,9.41,9.47,22160337.0,211852821.72
US,PLTR,2020-10-14,9.6,9.66,9.29,9.34,14101180.0,133115139.2
US,PLTR,2020-10-15,9.27,9.91,9.18,9.91,13148853.0,125308569.09
US,PLTR,2020-10-16,9.94,9.95,9.66,9.71,11535929.0,112706026.33
US,PLTR,2020-10-19,9.79,9.82,9.53,9.57,9333008.0,89970197.12
US,PLTR,2020-10-20,9.6,9.66,9.27,9.27,11291094.0,106362105.48
US,PLTR,2020-10-21,9.3,9.48,9.2,9.2,9424019.0,87549136.51
US,PLTR,2020-10-22,9.37,9.75,9.22,9.68,18124924.0,173093024.2
US,PLTR,2020-10-23,9.71,9.83,9.47,9.49,12980138.0,124739126.18
US,PLTR,2020-10-26,9.72,9.97,9.6,9.95,24188457.0,237046878.6
US,PLTR,2020-10-27,10.0,11.04,9.92,10.95,54271624.0,573651065.68
US,PLTR,2020-10-28,10.66,10.985,10.1,10.85,31926944.0,338425606.4
US,PLTR,2020-10-29,10.9,11.1,10.56,10.75,20812272.0,226645642.08
US,PLTR,2020-10-30,10.61,10.68,9.85,10.13,19928843.0,203274198.6
US,PLTR,2020-11-02,10.23,10.57,10.23,10.54,12026142.0,125312399.64
US,PLTR,2020-11-03,10.57,10.94,10.44,10.5,21994100.0,235116929.0
US,PLTR,2020-11-04,10.82,10.92,10.55,10.72,16019267.0,172207120.25
US,PLTR,2020-11-05,10.9,12.13,10.85,11.88,49022580.0,573073960.2
US,PLTR,2020-11-06,12.22,14.96,12.05,13.83,91141147.0,1259570651.54
US,PLTR,2020-11-09,14.96,15.9,14.11,14.67,62551205.0,941395635.25
US,PLTR,2020-11-10,14.99,15.01,13.18,14.0,38871537.0,544201518.0
US,PLTR,2020-11-11,14.57,15.97,14.4,15.96,47328286.0,721756361.5
US,PLTR,2020-11-12,16.66,17.06,14.41,14.58,100700648.0,1529642843.12
US,PLTR,2020-11-13,14.49,16.0,14.49,15.8,78142028.0,1198698709.52
US,PLTR,2020-11-16,15.96,16.1,15.01,15.93,68381528.0,1079744327.12
US,PLTR,2020-11-17,16.29,18.75,16.18,17.85,117539897.0,2079280777.93
US,PLTR,2020-11-18,18.28,19.25,17.54,17.9,91505191.0,1681865410.58
US,PLTR,2020-11-19,18.5,18.98,17.96,18.98,57201235.0,1058222847.5
US,PLTR,2020-11-20,19.03,19.66,18.0,18.15,73103035.0,1367757784.85
US,PLTR,2020-11-23,18.63,21.45,18.57,21.04,85694342.0,1715600726.84
US,PLTR,2020-11-24,22.35,24.27,20.63,23.82,117722583.0,2685252118.23
US,PLTR,2020-11-25,23.96,29.75,23.69,29.05,203256795.0,5526552256.05
US,PLTR,2020-11-27,31.19,33.5,26.12,27.66,207834002.0,6218393339.84
US,PLTR,2020-11-30,28.24,30.15,24.11,27.11,138974466.0,3781495219.86
US,PLTR,2020-12-01,28.09,28.14,24.45,25.67,85311632.0,2196774524.0
US,PLTR,2020-12-02,22.24,23.4,21.15,22.51,151542845.0,3386982585.75
US,PLTR,2020-12-03,23.55,25.62,23.5,24.03,86296964.0,2103057012.68
US,PLTR,2020-12-04,24.88,25.24,23.51,23.85,56616317.0,1368416381.89
US,PLTR,2020-12-07,24.44,29.0,24.44,28.94,118946429.0,3217500904.45
US,PLTR,2020-12-08,30.63,31.24,27.25,28.59,126423270.0,3656160968.4
US,PLTR,2020-12-09,28.68,28.85,25.33,26.63,80397711.0,2171542174.11
US,PLTR,2020-12-10,25.5412,28.04,25.15,27.04,58446446.0,1580391899.84
US,PLTR,2020-12-11,27.15,28.27,26.06,27.2,53124729.0,1434898930.29
US,PLTR,2020-12-14,28.26,28.26,26.7301,27.24,45303921.0,1243592631.45
US,PLTR,2020-12-15,26.82,27.1,25.52,26.43,49920382.0,1305417989.3
US,PLTR,2020-12-16,25.71,26.16,25.11,25.92,44707930.0,1148099642.4
US,PLTR,2020-12-17,26.52,27.45,26.05,27.23,54229934.0,1459869823.28
US,PLTR,2020-12-18,26.27,26.85,25.8,25.97,71886171.0,1881979956.78
US,PLTR,2020-12-21,26.19,28.7,25.4,28.51,77301105.0,2101817044.95
US,PLTR,2020-12-22,29.03,29.42,26.82,28.04,67036716.0,1881720618.12
US,PLTR,2020-12-23,28.95,29.39,28.05,28.69,59334011.0,1707039496.47
US,PLTR,2020-12-24,28.7976,29.16,27.52,27.75,26960847.0,760295885.4
US,PLTR,2020-12-28,28.39,28.59,25.4,25.63,56479896.0,1493328450.24
US,PLTR,2020-12-29,25.75,26.1823,24.34,24.66,47786784.0,1194669600.0
US,PLTR,2020-12-30,24.97,25.91,24.63,25.1,34881879.0,881465082.33
US,PLTR,2020-12-31,24.63,24.72,23.52,23.55,40200332.0,962395948.08
US,PLTR,2021-01-04,23.91,24.5,22.5,23.37,45768204.0,1078756568.28
