country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,QCOM,2016-06-13,14.71,14.71,777.1293,777.1293,0.7608203872,0.008245354180829367
US,QCOM,2016-06-14,14.71,14.71,775.217,775.217,0.7608203872,0.006041672331747111
US,QCOM,2016-06-15,14.71,14.71,783.7488,783.7488,0.7608203872,0.006004350781781101
US,QCOM,2016-06-16,14.71,14.71,785.8082,785.8082,0.7608203872,0.004015981645139361
US,QCOM,2016-06-17,14.71,14.71,787.7205,787.7205,0.7608203872,0.009890414683888512
US,QCOM,2016-06-20,14.71,14.71,792.7219,792.7219,0.7608203872,0.005901291638341265
US,QCOM,2016-06-21,14.71,14.71,792.5748,792.5748,0.7608203872,0.004372331747110809
US,QCOM,2016-06-22,14.71,14.71,794.9284,794.9284,0.7608203872,0.005765873555404487
US,QCOM,2016-06-23,14.71,14.71,817.1405,817.1405,0.7608203872,0.006085819850441876
US,QCOM,2016-06-24,14.71,14.71,766.6852,766.6852,0.7608203872,0.011569341264445955
US,QCOM,2016-06-27,14.76,14.76,754.8264,754.8264,0.7608203872,0.00792819647696477
US,QCOM,2016-06-28,14.76,14.76,775.0476,775.0476,0.7608203872,0.005061273712737127
US,QCOM,2016-06-29,14.76,14.76,790.398,790.398,0.7608203872,0.004828523035230352
US,QCOM,2016-06-30,14.76,14.76,790.6932,790.6932,0.7608203872,0.006269922764227642
US,QCOM,2016-07-01,14.76,14.76,782.28,782.28,0.7608203872,0.004325880758807588
US,QCOM,2016-07-05,14.76,14.76,766.6344,766.6344,0.7608203872,0.007199330623306233
US,QCOM,2016-07-06,14.76,14.76,772.9812,772.9812,0.7608203872,0.005244391598915989
US,QCOM,2016-07-07,14.76,14.76,781.2468,781.2468,0.7608203872,0.003904841463414634
US,QCOM,2016-07-08,14.76,14.76,799.8444,799.8444,0.7608203872,0.004643563685636856
US,QCOM,2016-07-11,14.76,14.76,798.8112,798.8112,0.7608203872,0.0047029810298102985
US,QCOM,2016-07-12,14.76,14.76,806.1912,806.1912,0.7608203872,0.005022863821138211
