country,code,time,open,high,low,close,volume,amount
US,QCOM,2016-06-13,53.6,53.9,52.74,52.83,12128916.0,646077033.03
US,QCOM,2016-06-14,52.66,53.25,52.47,52.7,8887300.0,468982821.0
US,QCOM,2016-06-15,53.05,53.56,52.67,53.28,8832400.0,469353736.0
US,QCOM,2016-06-16,52.97,53.47,52.48,53.42,5907509.0,313600115.265
US,QCOM,2016-06-17,53.73,53.82,53.1,53.55,14548800.0,779088240.0
US,QCOM,2016-06-20,54.17,54.66,53.86,53.89,8680800.0,470021916.0
US,QCOM,2016-06-21,54.25,54.25,53.6,53.88,6431700.0,347279641.5
US,QCOM,2016-06-22,53.9,54.97,53.9,54.04,8481600.0,459723924.0
US,QCOM,2016-06-23,54.85,55.57,54.57,55.55,8952241.0,493581807.535
US,QCOM,2016-06-24,53.01,53.82,52.12,52.12,17018501.0,898023751.5175
US,QCOM,2016-06-27,52.29,52.29,50.84,51.14,11702018.0,604292209.52
US,QCOM,2016-06-28,51.7,52.56,51.53,52.51,7470440.0,389023163.0
US,QCOM,2016-06-29,53.06,53.84,52.75,53.55,7126900.0,379863770.0
US,QCOM,2016-06-30,52.9,53.57,52.46,53.57,9254406.0,491640318.75
US,QCOM,2016-07-01,52.99,53.39,52.84,53.0,6385000.0,338756175.0
US,QCOM,2016-07-05,52.95,52.97,51.89,51.94,10626212.0,557211991.75
US,QCOM,2016-07-06,51.57,52.53,51.16,52.37,7740722.0,401801527.215
US,QCOM,2016-07-07,52.58,53.38,52.41,52.93,5763546.0,304459317.45
US,QCOM,2016-07-08,53.49,54.33,53.32,54.19,6853900.0,368962571.75
US,QCOM,2016-07-11,53.96,54.71,53.94,54.12,6941600.0,376113242.0
US,QCOM,2016-07-12,54.45,54.74,54.21,54.62,7413747.0,404086280.235
US,QCOM,2016-07-13,54.91,55.0,54.63,54.83,5676402.0,311308076.685
US,QCOM,2016-07-14,55.19,55.37,54.56,54.88,6601526.0,363083930.0
US,QCOM,2016-07-15,54.86,54.86,54.17,54.75,10236935.0,559550867.1
US,QCOM,2016-07-18,55.14,55.65,54.98,55.35,9225900.0,510007752.0
US,QCOM,2016-07-19,55.73,55.9,54.95,55.14,8164205.0,452541883.15
US,QCOM,2016-07-20,55.36,55.95,55.04,55.82,17204320.0,955570943.6
US,QCOM,2016-07-21,59.8,60.47,59.13,59.93,33912300.0,2029057689.75
US,QCOM,2016-07-22,60.21,61.18,59.83,61.15,12505700.0,757751627.25
US,QCOM,2016-07-25,60.96,60.97,60.15,60.73,9166238.0,556413562.195
US,QCOM,2016-07-26,61.0,61.5,60.77,61.35,11272640.0,689378299.2
US,QCOM,2016-07-27,61.82,62.66,61.65,62.51,13395146.0,832642275.36
US,QCOM,2016-07-28,62.44,62.79,62.17,62.43,8514227.0,531777332.8525
US,QCOM,2016-07-29,62.6,62.82,62.24,62.58,8291025.0,518686524.0
US,QCOM,2016-08-01,62.37,62.4,61.58,61.85,14606200.0,906314710.0
US,QCOM,2016-08-02,61.74,61.95,60.02,60.6,14732815.0,899843508.1625
US,QCOM,2016-08-03,60.59,61.11,60.5,61.01,6448200.0,392066680.5
US,QCOM,2016-08-04,61.11,61.23,60.73,60.98,5169600.0,315410220.0
