country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,RKLB,2020,Q1,2020-03-31,USD,1417000.0,5115000.0,5506000.0,8456000.0,-12154000.0,1329000.0,240000.0,-13961000.0,-14247000.0,404004300.0,404004300.0,,,,,,,,,,,-11816000.0,-3286000.0,16191000.0,-7705000.0,-6401000.0,5000.0,-14607000.0,97694000.0,-6401000.0
US,RKLB,2020,Q2,2020-06-30,USD,7336000.0,9517000.0,5814000.0,8970000.0,-11151000.0,2334000.0,3000.0,-8743000.0,-9206000.0,413890300.0,413890300.0,,,,,,,,,,,699000.0,4336000.0,695000.0,-4393000.0,-21425000.0,20517000.0,-4908000.0,83087000.0,-9217000.0
US,RKLB,2020,Q3,2020-09-30,USD,10670000.0,12555000.0,6057000.0,10960000.0,-12845000.0,0.0,-29000.0,-13605000.0,-12605000.0,447919591.0,447919591.0,,,,,,,,,,,-5447000.0,-3914000.0,4808000.0,-9317000.0,-2159000.0,347000.0,-11699000.0,78179000.0,-2159000.0
US,RKLB,2020,Q4,2020-12-31,USD,15737000.0,19791000.0,6615000.0,14748000.0,-18802000.0,2939000.0,11000.0,-18229000.0,-18947000.0,447919591.0,447919591.0,52792000.0,0.0,93114000.0,76734000.0,94755000.0,48419000.0,306158000.0,8000.0,-187691000.0,-166708000.0,4766000.0,3921000.0,3407000.0,-6342000.0,-7344000.0,609000.0,-12547000.0,66480000.0,-7344000.0
US,RKLB,2021,Q1,2021-03-31,USD,18192000.0,16781000.0,6624000.0,13702000.0,-12291000.0,2397000.0,-127000.0,-15618000.0,-15882000.0,447919591.0,447919591.0,425453.0,0.0,777703.0,0.0,320009656.0,1692954.0,57397334.0,256698503.0,-35902214.0,261697071.0,-6929000.0,-8248000.0,3887000.0,-15479000.0,-4046000.0,414000.0,-18594000.0,53933000.0,-4046000.0
US,RKLB,2021,Q2,2021-06-30,USD,11280000.0,8817000.0,7068000.0,15597000.0,-15950000.0,2450000.0,-275000.0,-16225000.0,-16665000.0,447919591.0,447919591.0,44846.0,0.0,329471.0,0.0,320014519.0,2390012.0,57316000.0,320000800.0,-59362823.0,260637976.0,-10895000.0,18735000.0,3288000.0,-21103000.0,-1653000.0,96955000.0,73702000.0,35339000.0,-1653000.0
US,RKLB,2021,Q3,2021-09-30,USD,5287000.0,17738000.0,25655000.0,39844000.0,-86676000.0,2563000.0,-2977000.0,-89653000.0,-87969000.0,452207440.0,452207440.0,792660000.0,0.0,855016000.0,80238000.0,100361000.0,76744000.0,204515000.0,45000.0,-308207000.0,674118000.0,18279000.0,17292000.0,35133000.0,-13295000.0,-5748000.0,704410000.0,684748000.0,109041000.0,-5748000.0
US,RKLB,2021,Q4,2021-12-31,USD,27478000.0,20793000.0,19048000.0,31016000.0,-24331000.0,3441000.0,-2751000.0,-3345000.0,3196000.0,452207440.0,452207440.0,690959000.0,0.0,774764000.0,93763000.0,206083000.0,96307000.0,186092000.0,45000.0,-305011000.0,698448000.0,-8473000.0,-10803000.0,-22190000.0,-21914000.0,-80687000.0,-1840000.0,-101714000.0,793789000.0,-14252000.0
US,RKLB,2022,Q1,2022-03-31,USD,40703000.0,36968000.0,23078000.0,36555000.0,-19332000.0,6088000.0,-2989000.0,-22321000.0,-26709000.0,456495288.0,456495288.0,603144000.0,0.0,746182000.0,149075000.0,311302000.0,173384000.0,151505000.0,46000.0,-331720000.0,732595000.0,-6562000.0,7409000.0,-9556000.0,-26339000.0,-71830000.0,14444000.0,-84299000.0,692075000.0,-6242000.0
US,RKLB,2022,Q2,2022-06-30,USD,55474000.0,50516000.0,18952000.0,38117000.0,-33159000.0,7649000.0,-2432000.0,-39490000.0,-37417000.0,464719924.0,464719924.0,542511000.0,0.0,706416000.0,144317000.0,298336000.0,144101000.0,147197000.0,47000.0,-369137000.0,713454000.0,-26183000.0,-12918000.0,-983000.0,-38256000.0,-12313000.0,-15010000.0,-61147000.0,607776000.0,-12828000.0
