country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,SMCI,2016,Q4,2016-06-30,USD,524270000.0,450474000.0,27809000.0,61957000.0,11879000.0,3744000.0,-413000.0,11426000.0,6971000.0,484630000.0,522740000.0,180964000.0,0.0,938002000.0,187949000.0,227598000.0,363618000.0,80603000.0,277339000.0,445971000.0,721195000.0,-380000.0,7236000.0,3461000.0,14683000.0,-8990000.0,-16000.0,4558000.0,176406000.0,-8988000.0
US,SMCI,2017,Q1,2016-09-30,USD,528763000.0,446211000.0,25979000.0,60129000.0,21974000.0,3802000.0,-279000.0,21644000.0,15373000.0,481650000.0,511200000.0,146696000.0,0.0,989371000.0,190848000.0,231210000.0,415493000.0,81873000.0,284090000.0,459503000.0,723026000.0,-38835000.0,12665000.0,4592000.0,-10841000.0,-11530000.0,-12034000.0,-34259000.0,178820000.0,-11646000.0
US,SMCI,2017,Q2,2016-12-31,USD,663200000.0,567064000.0,27157000.0,62615000.0,34211000.0,3909000.0,193000.0,33714000.0,22876000.0,481240000.0,515210000.0,128752000.0,0.0,1113808000.0,193670000.0,236048000.0,509762000.0,87733000.0,291275000.0,481499000.0,752200000.0,-75881000.0,-5096000.0,1967000.0,-44360000.0,-6129000.0,32882000.0,-17953000.0,144561000.0,-5726000.0
US,SMCI,2017,Q3,2017-03-31,USD,614798000.0,529461000.0,27795000.0,63812000.0,19931000.0,4057000.0,-558000.0,19373000.0,15350000.0,484450000.0,519180000.0,107779000.0,0.0,1156707000.0,195553000.0,247749000.0,534532000.0,92898000.0,299256000.0,498165000.0,776860000.0,-57587000.0,6794000.0,2316000.0,-35286000.0,-5897000.0,19615000.0,-21429000.0,126608000.0,-5898000.0
US,SMCI,2017,Q4,2017-06-30,USD,672883000.0,584693000.0,26797000.0,67695000.0,19185000.0,4589000.0,-792000.0,18270000.0,14660000.0,488040000.0,518660000.0,113196000.0,0.0,1246599000.0,195576000.0,241993000.0,533136000.0,155237000.0,305322000.0,515295000.0,800049000.0,-39467000.0,9525000.0,7119000.0,-5916000.0,-6149000.0,17261000.0,2827000.0,107779000.0,-6095000.0
US,SMCI,2018,Q1,2017-09-30,USD,716737000.0,630683000.0,36067000.0,76735000.0,8523000.0,4602000.0,-1083000.0,6805000.0,6079000.0,490970000.0,524490000.0,,,,,,,,,,,-7870000.0,25251000.0,3002000.0,11838000.0,-5056000.0,20051000.0,26858000.0,112797000.0,-4956000.0
US,SMCI,2018,Q2,2017-12-31,USD,826983000.0,721289000.0,43455000.0,82999000.0,22301000.0,5602000.0,-1088000.0,20057000.0,-783000.0,493350000.0,493350000.0,,,,,,,,,,,-23804000.0,-4330000.0,4808000.0,4377000.0,-9145000.0,-3532000.0,-8229000.0,139655000.0,-7145000.0
US,SMCI,2018,Q3,2018-03-31,USD,835110000.0,729193000.0,42448000.0,84732000.0,20797000.0,5982000.0,-1326000.0,18754000.0,14595000.0,494250000.0,516790000.0,,,,,,,,,,,-24735000.0,25481000.0,2565000.0,3170000.0,-3534000.0,6906000.0,6711000.0,131426000.0,-4534000.0
US,SMCI,2018,Q4,2018-06-30,USD,981662000.0,849333000.0,48206000.0,90814000.0,42320000.0,5660000.0,-2229000.0,38992000.0,26274000.0,495245000.0,521845000.0,115377000.0,0.0,1530878000.0,196631000.0,238627000.0,811557000.0,114296000.0,331550000.0,532271000.0,843495000.0,20279000.0,38249000.0,3865000.0,64962000.0,-8189000.0,-74257000.0,-17755000.0,138137000.0,-8189000.0
US,SMCI,2019,Q1,2018-09-30,USD,971118000.0,847879000.0,51752000.0,94746000.0,28662000.0,5946000.0,-2378000.0,24865000.0,19342000.0,497040000.0,522180000.0,105761000.0,0.0,1495690000.0,198158000.0,243435000.0,738882000.0,124951000.0,336365000.0,559327000.0,875135000.0,-1030000.0,38095000.0,11805000.0,37662000.0,-3171000.0,-37653000.0,-3234000.0,120382000.0,-3171000.0
