country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,SMCI,2016-06-13,0.48463,0.48463,12.018824,12.018824,1.0,0.010934114685430122
US,SMCI,2016-06-14,0.48463,0.48463,12.745769,12.745769,1.0,0.015602727854239317
US,SMCI,2016-06-15,0.48463,0.48463,12.745769,12.745769,1.0,0.006563440150217692
US,SMCI,2016-06-16,0.48463,0.48463,12.745769,12.745769,1.0,0.004605575387408951
US,SMCI,2016-06-17,0.48463,0.48463,12.648843,12.648843,1.0,0.009508986236923013
US,SMCI,2016-06-20,0.48463,0.48463,12.988084,12.988084,1.0,0.006470915956502899
US,SMCI,2016-06-21,0.48463,0.48463,13.08501,13.08501,1.0,0.00719724325774302
US,SMCI,2016-06-22,0.48463,0.48463,12.794232,12.794232,1.0,0.004896518993871613
US,SMCI,2016-06-23,0.48463,0.48463,12.988084,12.988084,1.0,0.005520458906794874
US,SMCI,2016-06-24,0.48463,0.48463,12.212676,12.212676,1.0,0.023901017270907703
US,SMCI,2016-06-27,0.48463,0.48463,11.534194,11.534194,1.0,0.008086003755442297
US,SMCI,2016-06-28,0.48463,0.48463,11.63112,11.63112,1.0,0.009741452241916514
US,SMCI,2016-06-29,0.48463,0.48463,11.824972,11.824972,1.0,0.005336029548315209
US,SMCI,2016-06-30,0.48165,0.48165,11.993085,11.993085,1.0,0.0070952143672791445
US,SMCI,2016-07-01,0.48165,0.48165,11.84859,11.84859,1.0,0.004792006643828506
US,SMCI,2016-07-05,0.48165,0.48165,11.46327,11.46327,1.0,0.004987023772448873
US,SMCI,2016-07-06,0.48165,0.48165,11.65593,11.65593,1.0,0.00787787812727084
US,SMCI,2016-07-07,0.48165,0.48165,11.75226,11.75226,1.0,0.005032700093428839
US,SMCI,2016-07-08,0.48165,0.48165,12.185745,12.185745,1.0,0.00741116993667601
US,SMCI,2016-07-11,0.48165,0.48165,12.13758,12.13758,1.0,0.003974296688466729
US,SMCI,2016-07-12,0.48165,0.48165,12.5229,12.5229,1.0,0.007484750337381917
US,SMCI,2016-07-13,0.48165,0.48165,12.571065,12.571065,1.0,0.005109519360531506
US,SMCI,2016-07-14,0.48165,0.48165,12.61923,12.61923,1.0,0.006894695318177099
US,SMCI,2016-07-15,0.48165,0.48165,12.5229,12.5229,1.0,0.003384989099968857
US,SMCI,2016-07-18,0.48165,0.48165,12.667395,12.667395,1.0,0.0032658569500674762
US,SMCI,2016-07-19,0.48165,0.48165,9.15135,9.15135,1.0,0.16666043807744213
