country,code,time,open,high,low,close,volume,amount
US,SMCI,2016-06-13,25.5,25.7,24.8,24.8,529900.0,13353480.0
US,SMCI,2016-06-14,24.8,26.4,24.8,26.3,756155.0,19338664.125
US,SMCI,2016-06-15,26.4,26.5,26.1,26.3,318084.0,8373561.3
US,SMCI,2016-06-16,26.1,26.4,25.7,26.3,223200.0,5831100.0
US,SMCI,2016-06-17,26.2,26.4,25.9,26.1,460834.0,12050809.1
US,SMCI,2016-06-20,26.6,26.9,26.6,26.8,313600.0,8380960.0
US,SMCI,2016-06-21,26.9,27.0,26.6,27.0,348800.0,9374000.0
US,SMCI,2016-06-22,27.0,27.1,26.4,26.4,237300.0,6341842.5
US,SMCI,2016-06-23,26.8,27.0,26.7,26.8,267538.0,7176706.85
US,SMCI,2016-06-24,25.6,26.0,25.2,25.2,1158315.0,29537032.5
US,SMCI,2016-06-27,24.9,25.2,23.6,23.8,391872.0,9551880.0
US,SMCI,2016-06-28,23.9,24.4,23.4,24.0,472100.0,11294992.5
US,SMCI,2016-06-29,24.3,24.6,24.0,24.4,258600.0,6290445.0
US,SMCI,2016-06-30,24.3,24.9,24.3,24.9,341741.0,8406828.6
US,SMCI,2016-07-01,24.8,25.0,24.3,24.6,230807.0,5695162.725
US,SMCI,2016-07-05,24.5,24.6,23.7,23.8,240200.0,5800830.0
US,SMCI,2016-07-06,23.8,24.2,23.2,24.2,379438.0,9049596.3
US,SMCI,2016-07-07,24.4,24.7,24.1,24.4,242400.0,5914560.0
US,SMCI,2016-07-08,24.7,25.4,24.6,25.3,356959.0,8923975.0
US,SMCI,2016-07-11,25.4,25.7,25.2,25.2,191422.0,4857333.25
US,SMCI,2016-07-12,25.6,26.3,25.5,26.0,360503.0,9319002.55
US,SMCI,2016-07-13,26.2,26.2,25.7,26.1,246100.0,6410905.0
US,SMCI,2016-07-14,26.2,26.4,25.9,26.2,332083.0,8692272.525
US,SMCI,2016-07-15,26.3,26.3,25.8,26.0,163038.0,4255291.8
US,SMCI,2016-07-18,26.2,26.6,26.0,26.3,157300.0,4133057.5
US,SMCI,2016-07-19,20.5,20.6,18.6,19.0,8027200.0,157935160.0
US,SMCI,2016-07-20,19.1,19.6,19.0,19.6,2201829.0,42550345.425
US,SMCI,2016-07-21,19.6,20.0,19.6,20.0,946700.0,18744660.0
US,SMCI,2016-07-22,20.0,20.4,20.0,20.1,882232.0,17754919.0
US,SMCI,2016-07-25,20.1,20.8,20.1,20.3,619166.0,12584548.95
US,SMCI,2016-07-26,20.3,21.1,20.3,21.0,586070.0,12116997.25
US,SMCI,2016-07-27,21.1,21.3,21.0,21.3,533118.0,11288773.65
US,SMCI,2016-07-28,21.3,21.5,21.1,21.4,333700.0,7116152.5
US,SMCI,2016-07-29,21.4,21.6,21.2,21.5,590734.0,12656475.95
US,SMCI,2016-08-01,21.5,21.7,21.4,21.6,350952.0,7563015.6
US,SMCI,2016-08-02,21.6,21.7,21.0,21.1,379000.0,8091650.0
US,SMCI,2016-08-03,21.0,21.0,20.5,20.5,413200.0,8573900.0
US,SMCI,2016-08-04,20.6,20.9,20.4,20.4,434997.0,8950063.275
US,SMCI,2016-08-05,20.0,21.6,19.3,21.5,1237339.0,25489183.4
