country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,SNDK,2024,Q1,2023-09-29,USD,1533000000.0,1721000000.0,118000000.0,299000000.0,-546000000.0,57000000.0,-8000000.0,-494000000.0,-518000000.0,144000000.0,144000000.0,,,,,,,,,,,-182000000.0,26000000.0,85000000.0,-12000000.0,100000000.0,-135000000.0,0.0,0.0,-29000000.0
US,SNDK,2024,Q2,2023-12-28,USD,1665000000.0,1504000000.0,113000000.0,406000000.0,-249000000.0,0.0,-8000000.0,-260000000.0,-301000000.0,144000000.0,144000000.0,,,,,,,,,,,154000000.0,-56000000.0,55000000.0,2000000.0,-9000000.0,229000000.0,223000000.0,202000000.0,-75000000.0
US,SNDK,2024,Q3,2024-03-31,USD,1705000000.0,1242000000.0,107000000.0,398000000.0,63000000.0,56000000.0,-6000000.0,54000000.0,27000000.0,145000000.0,145000000.0,,,,,,,,,,,-182000000.0,26000000.0,47000000.0,-12000000.0,100000000.0,-135000000.0,-48000000.0,425000000.0,-29000000.0
US,SNDK,2024,Q4,2024-06-30,USD,1760000000.0,1124000000.0,117000000.0,437000000.0,206000000.0,54000000.0,-6000000.0,197000000.0,120000000.0,144500000.0,144500000.0,328000000.0,0.0,3548000000.0,791000000.0,9958000000.0,2123000000.0,301000000.0,11534000000.0,0.0,11082000000.0,-353000000.0,37000000.0,34000000.0,-130000000.0,-3000000.0,85000000.0,-49000000.0,377000000.0,-38000000.0
US,SNDK,2025,Q1,2024-09-30,USD,1883000000.0,1157000000.0,130000000.0,413000000.0,313000000.0,54000000.0,1000000.0,267000000.0,211000000.0,145000000.0,145000000.0,322000000.0,0.0,4388000000.0,728000000.0,9502000000.0,1472000000.0,292000000.0,12369000000.0,0.0,12126000000.0,-344000000.0,-165000000.0,-88000000.0,-131000000.0,-19000000.0,214000000.0,-328000000.0,328000000.0,-67000000.0
US,SNDK,2025,Q2,2024-12-27,USD,1876000000.0,1270000000.0,142000000.0,411000000.0,177000000.0,36000000.0,-2000000.0,173000000.0,104000000.0,144000000.0,144000000.0,804000000.0,0.0,4456000000.0,579000000.0,9778000000.0,1873000000.0,360000000.0,12435000000.0,0.0,12001000000.0,-143000000.0,-104000000.0,22000000.0,95000000.0,188000000.0,130000000.0,804000000.0,0.0,-48000000.0
US,SNDK,2025,Q3,2025-03-28,USD,1695000000.0,1313000000.0,139000000.0,424000000.0,-42000000.0,37000000.0,-10000000.0,-1901000000.0,-1933000000.0,145000000.0,145000000.0,1507000000.0,0.0,5090000000.0,603000000.0,7870000000.0,1375000000.0,2424000000.0,1000000.0,-1761000000.0,9161000000.0,51000000.0,14000000.0,1843000000.0,26000000.0,404000000.0,276000000.0,703000000.0,804000000.0,-44000000.0
US,SNDK,2025,Q4,2025-06-27,USD,1901000000.0,1403000000.0,162000000.0,480000000.0,23000000.0,36000000.0,-30000000.0,-18000000.0,-23000000.0,145000000.0,145000000.0,1481000000.0,0.0,5086000000.0,619000000.0,7899000000.0,1427000000.0,2342000000.0,1000000.0,-1784000000.0,9216000000.0,56000000.0,65000000.0,-5000000.0,94000000.0,-17000000.0,-102000000.0,-26000000.0,1507000000.0,-45000000.0
US,SNDK,2026,Q1,2025-10-03,USD,2308000000.0,1621000000.0,179000000.0,495000000.0,192000000.0,36000000.0,-24000000.0,124000000.0,112000000.0,147000000.0,149000000.0,1442000000.0,0.0,4984000000.0,630000000.0,7765000000.0,1516000000.0,1852000000.0,1000000.0,-1672000000.0,9381000000.0,250000000.0,87000000.0,34000000.0,488000000.0,-15000000.0,-515000000.0,-39000000.0,1481000000.0,-50000000.0
US,SNDK,2026,Q2,2026-01-02,USD,3025000000.0,1484000000.0,139000000.0,466000000.0,1075000000.0,38000000.0,-13000000.0,937000000.0,803000000.0,147000000.0,156000000.0,1539000000.0,0.0,5150000000.0,631000000.0,7848000000.0,1654000000.0,1131000000.0,1000000.0,-869000000.0,10213000000.0,63000000.0,180000000.0,70000000.0,1019000000.0,-165000000.0,-758000000.0,97000000.0,1442000000.0,-39000000.0
US,SNDK,2026,Q3,2026-04-03,USD,5950000000.0,1288000000.0,161000000.0,551000000.0,4111000000.0,0.0,-6000000.0,4107000000.0,3615000000.0,148000000.0,157000000.0,3735000000.0,0.0,9168000000.0,649000000.0,7907000000.0,1917000000.0,1381000000.0,1000000.0,2746000000.0,13777000000.0,-709000000.0,1083000000.0,72000000.0,3038000000.0,-83000000.0,-752000000.0,2196000000.0,1539000000.0,-45000000.0
