country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,SNDK,2025-02-13,1.45,1.45,52.2,52.2,1.0,0.0025455172413793104
US,SNDK,2025-02-14,1.45,1.45,53.1425,53.1425,1.0,0.0016737931034482758
US,SNDK,2025-02-18,1.45,1.45,68.3675,68.3675,1.0,0.0030655172413793104
US,SNDK,2025-02-19,1.45,1.45,66.7,66.7,1.0,0.001523096551724138
US,SNDK,2025-02-20,1.45,1.45,69.977,69.977,1.0,0.003077434482758621
US,SNDK,2025-02-21,1.45,1.45,73.0365,73.0365,1.0,0.008635172413793104
US,SNDK,2025-02-24,1.45,1.45,70.47,70.47,1.0,0.23343793103448277
US,SNDK,2025-02-25,1.45,1.45,69.832,69.832,1.0,0.05654415862068966
US,SNDK,2025-02-26,1.45,1.45,67.541,67.541,1.0,0.05785588965517242
US,SNDK,2025-02-27,1.45,1.45,65.482,65.482,1.0,0.0667318551724138
US,SNDK,2025-02-28,1.45,1.45,67.9325,67.9325,1.0,0.05319936551724138
US,SNDK,2025-03-03,1.45,1.45,72.9495,72.9495,1.0,0.03319310344827586
US,SNDK,2025-03-04,1.45,1.45,70.6005,70.6005,1.0,0.04189448275862069
US,SNDK,2025-03-05,1.45,1.45,70.2815,70.2815,1.0,0.03497807586206896
US,SNDK,2025-03-06,1.45,1.45,67.425,67.425,1.0,0.02867116551724138
US,SNDK,2025-03-07,1.45,1.45,73.95,73.95,1.0,0.05397158620689655
US,SNDK,2025-03-10,1.45,1.45,76.85,76.85,1.0,0.036026462068965516
US,SNDK,2025-03-11,1.45,1.45,75.632,75.632,1.0,0.02174758620689655
US,SNDK,2025-03-12,1.45,1.45,73.138,73.138,1.0,0.015017296551724138
US,SNDK,2025-03-13,1.45,1.45,70.238,70.238,1.0,0.02446536551724138
US,SNDK,2025-03-14,1.45,1.45,79.489,79.489,1.0,0.03343246896551724
US,SNDK,2025-03-17,1.45,1.45,80.6925,80.6925,1.0,0.020211924137931034
US,SNDK,2025-03-18,1.45,1.45,81.809,81.809,1.0,0.017843489655172413
US,SNDK,2025-03-19,1.45,1.45,81.6785,81.6785,1.0,0.017384137931034483
US,SNDK,2025-03-20,1.45,1.45,81.5045,81.5045,1.0,0.01863434482758621
US,SNDK,2025-03-21,1.45,1.45,78.242,78.242,1.0,0.04394683448275862
US,SNDK,2025-03-24,1.45,1.45,76.8355,76.8355,1.0,0.024572889655172413
US,SNDK,2025-03-25,1.45,1.45,75.69,75.69,1.0,0.021235393103448276
US,SNDK,2025-03-26,1.45,1.45,76.299,76.299,1.0,0.00856831724137931
US,SNDK,2025-03-27,1.45,1.45,76.676,76.676,1.0,0.011159310344827587
US,SNDK,2025-03-28,1.45,1.45,71.0065,71.0065,1.0,0.02749862068965517
US,SNDK,2025-03-31,1.45,1.45,69.0345,69.0345,1.0,0.014575172413793103
US,SNDK,2025-04-01,1.45,1.45,69.7595,69.7595,1.0,0.014590344827586206
US,SNDK,2025-04-02,1.45,1.45,69.1215,69.1215,1.0,0.011898620689655172
US,SNDK,2025-04-03,1.45,1.45,55.477,55.477,1.0,0.050844062068965516
US,SNDK,2025-04-04,1.45,1.45,43.6595,43.6595,1.0,0.07881793103448276
US,SNDK,2025-04-07,1.45,1.45,45.646,45.646,1.0,0.043024924137931034
US,SNDK,2025-04-08,1.45,1.45,46.9075,46.9075,1.0,0.04124008965517242
US,SNDK,2025-04-09,1.45,1.45,53.041,53.041,1.0,0.038631724137931034
US,SNDK,2025-04-10,1.45,1.45,45.066,45.066,1.0,0.02864444827586207
US,SNDK,2025-04-11,1.45,1.45,46.3565,46.3565,1.0,0.0334915724137931
US,SNDK,2025-04-14,1.45,1.45,48.6475,48.6475,1.0,0.028291724137931035
