country,code,time,open,high,low,close,volume,amount
US,SNDK,2025-02-13,35.06,44.0,34.99,36.0,369100.0,13845863.75
US,SNDK,2025-02-14,37.0,38.25,35.51,36.65,242700.0,8944101.75
US,SNDK,2025-02-18,40.53,47.15,39.0,47.15,444500.0,19316858.75
US,SNDK,2025-02-19,46.51,48.5,45.5,46.0,220849.0,10297636.7475
US,SNDK,2025-02-20,48.98,49.49,46.71,48.26,446228.0,21579586.08
US,SNDK,2025-02-21,48.99,50.69,48.0,50.37,1252100.0,61994601.25
US,SNDK,2025-02-24,52.0,53.0,46.21,48.6,33848500.0,1690817196.25
US,SNDK,2025-02-25,48.3,55.01,47.81,48.16,8198903.0,408469347.46
US,SNDK,2025-02-26,46.15,49.91,45.3,46.58,8389104.0,394162051.44
US,SNDK,2025-02-27,46.04,47.87,41.58,45.16,9676119.0,436997724.3375
US,SNDK,2025-02-28,45.23,48.7,43.75,46.85,7713908.0,355861860.81
US,SNDK,2025-03-03,48.49,50.88,47.61,50.31,4813000.0,237389192.5
US,SNDK,2025-03-04,46.69,50.1,45.1,48.69,6074700.0,289429081.5
US,SNDK,2025-03-05,47.6,49.4,46.5,48.47,5071821.0,243409369.3425
US,SNDK,2025-03-06,47.41,49.06,45.24,46.5,4157319.0,195612252.2475
US,SNDK,2025-03-07,49.2,51.13,47.16,51.0,7825880.0,388339730.3
US,SNDK,2025-03-10,50.49,53.67,49.55,53.0,5223837.0,269954836.5675
US,SNDK,2025-03-11,51.84,53.19,49.82,52.16,3153400.0,163196333.5
US,SNDK,2025-03-12,53.0,53.1,50.38,50.44,2177508.0,112642488.84
US,SNDK,2025-03-13,50.0,50.87,47.86,48.44,3547478.0,174864059.315
US,SNDK,2025-03-14,49.43,54.94,49.43,54.82,4847708.0,252832210.74
US,SNDK,2025-03-17,54.8,58.36,54.75,55.65,2930729.0,163798443.81
US,SNDK,2025-03-18,55.14,57.89,54.57,56.42,2587306.0,144902072.53
US,SNDK,2025-03-19,56.3,57.61,55.67,56.33,2520700.0,142362834.25
US,SNDK,2025-03-20,56.51,57.17,54.92,56.21,2701980.0,151858030.95
US,SNDK,2025-03-21,55.1,55.45,51.92,53.96,6372291.0,344788735.2825
US,SNDK,2025-03-24,54.61,55.69,51.84,52.99,3563069.0,191630758.4925
US,SNDK,2025-03-25,52.13,53.18,51.76,52.2,3079132.0,161092488.41
US,SNDK,2025-03-26,53.53,53.7,51.98,52.62,1242406.0,65794715.745
US,SNDK,2025-03-27,51.95,54.24,51.71,52.88,1618100.0,85265779.5
