country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,STX,2016,Q4,2016-06-30,USD,2654000000.0,1992000000.0,143000000.0,560000000.0,104000000.0,200000000.0,-50000000.0,54000000.0,70000000.0,299000000.0,300000000.0,1125000000.0,13000000.0,3533000000.0,2160000000.0,4719000000.0,2249000000.0,4410000000.0,0.0,-4311000000.0,1593000000.0,-23000000.0,-23000000.0,-1000000.0,269000000.0,-146000000.0,-188000000.0,-68000000.0,1193000000.0,-146000000.0
US,STX,2017,Q1,2016-09-30,USD,2797000000.0,1996000000.0,155000000.0,580000000.0,223000000.0,200000000.0,-49000000.0,173000000.0,167000000.0,299000000.0,301000000.0,1489000000.0,5000000.0,3928000000.0,2093000000.0,4567000000.0,2608000000.0,4363000000.0,6004000000.0,-4456000000.0,1524000000.0,191000000.0,124000000.0,-7000000.0,592000000.0,-139000000.0,-89000000.0,364000000.0,1125000000.0,-140000000.0
US,STX,2017,Q2,2016-12-30,USD,2894000000.0,2003000000.0,155000000.0,521000000.0,403000000.0,191000000.0,-49000000.0,310000000.0,297000000.0,296000000.0,298000000.0,1716000000.0,0.0,4140000000.0,2012000000.0,4421000000.0,2681000000.0,4357000000.0,6049000000.0,-4493000000.0,1523000000.0,98000000.0,25000000.0,34000000.0,655000000.0,-95000000.0,-324000000.0,231000000.0,1489000000.0,-96000000.0
US,STX,2017,Q3,2017-03-31,USD,2674000000.0,1858000000.0,150000000.0,550000000.0,272000000.0,182000000.0,-55000000.0,212000000.0,194000000.0,296000000.0,300000000.0,3026000000.0,0.0,5460000000.0,1911000000.0,4279000000.0,2789000000.0,5342000000.0,6122000000.0,-4487000000.0,1608000000.0,-21000000.0,0.0,25000000.0,426000000.0,-103000000.0,984000000.0,1311000000.0,1720000000.0,-94000000.0
US,STX,2017,Q4,2017-06-30,USD,2406000000.0,1740000000.0,149000000.0,470000000.0,182000000.0,176000000.0,-57000000.0,120000000.0,114000000.0,294000000.0,297000000.0,2539000000.0,4000000.0,5041000000.0,1875000000.0,4227000000.0,2626000000.0,5278000000.0,0.0,-4771000000.0,1364000000.0,-82000000.0,-92000000.0,17000000.0,243000000.0,-122000000.0,-617000000.0,-488000000.0,3031000000.0,-104000000.0
US,STX,2018,Q1,2017-09-29,USD,2632000000.0,1896000000.0,145000000.0,481000000.0,249000000.0,161000000.0,-54000000.0,188000000.0,181000000.0,290000000.0,292000000.0,2285000000.0,0.0,4824000000.0,1817000000.0,4132000000.0,2458000000.0,5256000000.0,6213000000.0,-4958000000.0,1242000000.0,-135000000.0,-63000000.0,1000000.0,237000000.0,-132000000.0,-363000000.0,-254000000.0,2543000000.0,-124000000.0
US,STX,2018,Q2,2017-12-29,USD,2914000000.0,2037000000.0,142000000.0,444000000.0,432000000.0,157000000.0,-55000000.0,371000000.0,159000000.0,288000000.0,291000000.0,2556000000.0,0.0,4910000000.0,1762000000.0,3840000000.0,3113000000.0,4576000000.0,6246000000.0,-5174000000.0,1061000000.0,298000000.0,25000000.0,2000000.0,850000000.0,-78000000.0,-502000000.0,271000000.0,2289000000.0,-77000000.0
US,STX,2018,Q3,2018-03-30,USD,2803000000.0,1956000000.0,135000000.0,406000000.0,453000000.0,143000000.0,-50000000.0,393000000.0,381000000.0,286000000.0,291000000.0,2926000000.0,0.0,5247000000.0,1720000000.0,3765000000.0,3055000000.0,4593000000.0,6347000000.0,-4975000000.0,1364000000.0,-3000000.0,-9000000.0,6000000.0,558000000.0,-29000000.0,-162000000.0,370000000.0,2560000000.0,-69000000.0
US,STX,2018,Q4,2018-06-30,USD,2835000000.0,1931000000.0,140000000.0,399000000.0,520000000.0,137000000.0,-39000000.0,466000000.0,461000000.0,287000000.0,293000000.0,1853000000.0,4000000.0,4310000000.0,1792000000.0,5100000000.0,3190000000.0,4555000000.0,0.0,-4696000000.0,1665000000.0,-121000000.0,47000000.0,-20000000.0,468000000.0,-1349000000.0,-184000000.0,-1073000000.0,2930000000.0,-96000000.0
US,STX,2019,Q1,2018-09-28,USD,2991000000.0,2078000000.0,115000000.0,410000000.0,526000000.0,134000000.0,-34000000.0,468000000.0,450000000.0,287000000.0,292000000.0,1942000000.0,0.0,4523000000.0,1789000000.0,5055000000.0,3175000000.0,4557000000.0,6427000000.0,-4569000000.0,1846000000.0,1000000.0,-43000000.0,-18000000.0,587000000.0,-176000000.0,-326000000.0,88000000.0,1857000000.0,-177000000.0
