country,code,time,open,high,low,close,volume,amount
US,STX,2016-06-13,23.11,23.45,22.66,22.68,5400295.0,124071777.625
US,STX,2016-06-14,22.54,23.08,22.3,22.76,4012295.0,90958727.65
US,STX,2016-06-15,22.92,23.27,22.56,22.72,4369937.0,99929534.3475
US,STX,2016-06-16,22.61,22.7,22.07,22.69,4273300.0,96224032.75
US,STX,2016-06-17,22.81,23.36,22.72,23.22,7652428.0,176216285.77
US,STX,2016-06-20,23.53,23.99,23.3,23.43,4353930.0,102589475.625
US,STX,2016-06-21,23.38,23.92,23.2,23.86,3550523.0,83756837.57
US,STX,2016-06-22,23.86,24.24,23.77,23.87,3949339.0,94527428.965
US,STX,2016-06-23,24.16,24.68,24.11,24.48,4714601.0,114835893.8575
US,STX,2016-06-24,23.41,23.92,23.01,23.16,6496845.0,151863751.875
US,STX,2016-06-27,23.0,23.07,20.77,20.87,6675247.0,146371478.5925
US,STX,2016-06-28,21.48,22.6,21.43,22.53,6165136.0,135694643.36
US,STX,2016-06-29,23.24,24.06,22.91,23.95,8997000.0,211789380.0
US,STX,2016-06-30,23.8,24.37,23.2,24.36,8335400.0,199486960.5
US,STX,2016-07-01,24.21,24.21,23.93,24.03,4944421.0,119135823.995
US,STX,2016-07-05,23.78,23.8,22.89,23.16,3785000.0,88597387.5
US,STX,2016-07-06,22.35,23.64,22.09,23.52,6386800.0,146257720.0
US,STX,2016-07-07,24.02,24.34,23.51,23.73,7494165.0,179110543.5
US,STX,2016-07-08,24.2,24.21,23.51,24.01,6370427.0,152778765.5275
US,STX,2016-07-11,24.14,24.33,23.94,24.09,5236900.0,126340212.5
US,STX,2016-07-12,27.48,29.54,27.47,29.35,29492343.0,839352081.78
US,STX,2016-07-13,29.35,30.15,28.97,29.83,10546628.0,311916523.1
US,STX,2016-07-14,30.03,30.29,29.04,29.19,7786522.0,230773045.775
US,STX,2016-07-15,29.4,29.43,28.3,28.9,6444400.0,186935933.0
US,STX,2016-07-18,29.2,30.47,29.0,30.15,7113000.0,211291665.0
US,STX,2016-07-19,30.35,30.55,29.71,29.99,3351600.0,101050740.0
US,STX,2016-07-20,30.03,30.5,29.71,30.5,3760916.0,113523249.46
US,STX,2016-07-21,30.48,31.55,30.4,31.22,7436719.0,229887576.0875
US,STX,2016-07-22,31.38,31.76,31.06,31.58,4602621.0,144729417.345
US,STX,2016-07-25,31.62,31.83,31.3,31.44,4319300.0,136263116.75
US,STX,2016-07-26,31.28,32.47,31.0,32.45,4435535.0,141050013.0
US,STX,2016-07-27,32.53,33.03,31.8,32.05,4490400.0,145275666.0
US,STX,2016-07-28,32.07,32.63,31.76,32.6,4133100.0,133354471.5
US,STX,2016-07-29,32.09,32.41,31.26,32.03,6416000.0,204975160.0
US,STX,2016-08-01,32.0,32.44,31.8,32.43,7349615.0,236418740.5125
US,STX,2016-08-02,33.3,33.75,30.27,30.65,14367000.0,459636247.5
US,STX,2016-08-03,30.64,31.1,30.09,30.73,6056926.0,185584212.64
US,STX,2016-08-04,30.94,31.39,30.71,31.26,4459400.0,138575855.0
US,STX,2016-08-05,31.48,32.48,31.48,32.13,5094903.0,162489193.9275
US,STX,2016-08-08,32.23,32.75,32.19,32.61,5216973.0,169264688.985
US,STX,2016-08-09,32.6,32.65,32.25,32.49,3238934.0,105257257.665
US,STX,2016-08-10,32.53,32.63,31.3,31.38,4537644.0,145023102.24
US,STX,2016-08-11,31.4,31.98,31.4,31.75,2330737.0,73727038.1525
US,STX,2016-08-12,31.76,31.87,31.33,31.55,2250200.0,71168200.5
US,STX,2016-08-15,31.57,32.38,31.57,32.0,3627412.0,115641894.56
US,STX,2016-08-16,32.0,32.75,31.9,32.46,3174104.0,102452141.86
US,STX,2016-08-17,32.49,32.51,31.5,31.78,3514741.0,112717743.87
US,STX,2016-08-18,31.82,32.49,31.64,32.07,2352500.0,75291762.5
US,STX,2016-08-19,31.91,32.72,31.91,32.33,2659100.0,85669554.25
US,STX,2016-08-22,32.21,32.33,31.35,31.87,2807031.0,89656570.14
US,STX,2016-08-23,32.18,32.48,31.97,32.12,2565800.0,82586687.5
US,STX,2016-08-24,32.13,32.4,31.43,31.58,2772700.0,88407539.5
US,STX,2016-08-25,31.41,32.25,31.41,32.05,2591600.0,82361048.0
US,STX,2016-08-26,32.23,33.48,32.21,33.33,6087210.0,199736578.125
US,STX,2016-08-29,33.42,33.97,33.42,33.73,3972347.0,133609891.345
US,STX,2016-08-30,33.5,34.14,33.5,33.92,2929512.0,98914972.68
US,STX,2016-08-31,33.6,34.14,33.32,33.74,5297539.0,178527064.3
US,STX,2016-09-01,33.76,34.08,33.34,33.71,4149525.0,139932356.8125
US,STX,2016-09-02,33.79,34.25,33.47,33.92,2723726.0,92218553.045
US,STX,2016-09-06,34.1,34.57,33.82,34.47,4357244.0,149192034.56
US,STX,2016-09-07,35.56,36.65,35.28,36.51,9483800.0,341416800.0
US,STX,2016-09-08,36.48,36.58,35.85,36.31,4738335.0,172025252.175
US,STX,2016-09-09,36.77,37.96,35.99,36.09,7724200.0,283497450.5
US,STX,2016-09-12,35.83,36.71,35.06,36.55,6149700.0,221619813.75
US,STX,2016-09-13,36.05,36.5,35.47,36.14,4716900.0,169997076.0
US,STX,2016-09-14,36.09,36.63,35.46,36.07,4074408.0,146933338.5
US,STX,2016-09-15,36.13,36.64,36.03,36.45,4246900.0,154215556.25
US,STX,2016-09-16,37.32,37.32,36.11,36.4,8966600.0,329858797.5
US,STX,2016-09-19,36.28,36.5,35.5,35.95,4950122.0,178489024.015
US,STX,2016-09-20,36.17,36.21,35.33,35.53,2624883.0,93997060.23
US,STX,2016-09-21,35.4,36.72,35.4,36.69,3641139.0,131272163.7975
US,STX,2016-09-22,36.76,37.1,36.36,36.4,2585414.0,94768350.17
US,STX,2016-09-23,36.17,36.85,36.17,36.46,2497642.0,90945389.325
US,STX,2016-09-26,36.37,37.42,36.18,37.2,5411700.0,199109972.25
US,STX,2016-09-27,37.02,38.53,37.0,38.42,6853033.0,258650598.0025
US,STX,2016-09-28,38.71,39.04,37.65,38.21,4971532.0,190919257.63
US,STX,2016-09-29,38.12,38.86,37.41,37.79,4046500.0,153949092.5
US,STX,2016-09-30,37.94,38.85,37.94,38.55,3840000.0,147148800.0
US,STX,2016-10-03,38.56,39.33,38.2,38.41,3671026.0,141793379.25
US,STX,2016-10-04,38.61,38.99,38.05,38.24,3593600.0,138254776.0
US,STX,2016-10-05,38.39,38.91,38.03,38.54,2679700.0,103081359.75
US,STX,2016-10-06,38.21,38.31,37.47,37.81,4165300.0,158073135.0
