country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,TSLA,2016-06-13,1.39983,1.39983,304.882974,304.882974,1.0,0.02995363722737761
US,TSLA,2016-06-14,1.39983,1.39983,300.893459,300.893459,1.0,0.02557596279548231
US,TSLA,2016-06-15,1.39983,1.39983,304.673,304.673,1.0,0.020777522984933884
US,TSLA,2016-06-16,1.39983,1.39983,305.092948,305.092948,1.0,0.017432831129494297
US,TSLA,2016-06-17,1.39983,1.39983,301.523382,301.523382,1.0,0.022235557174799796
US,TSLA,2016-06-20,1.39983,1.39983,307.612642,307.612642,1.0,0.025399512797982613
US,TSLA,2016-06-21,1.39983,1.39983,307.402668,307.402668,1.0,0.03235392869134109
US,TSLA,2016-06-22,1.39983,1.39983,275.276569,275.276569,1.0,0.16960916682740046
US,TSLA,2016-06-23,1.39983,1.39983,274.856621,274.856621,1.0,0.0723709307558775
US,TSLA,2016-06-24,1.39983,1.39983,270.447156,270.447156,1.0,0.05019538086767679
US,TSLA,2016-06-27,1.39983,1.39983,278.006238,278.006238,1.0,0.05147339319774544
US,TSLA,2016-06-28,1.39983,1.39983,282.415703,282.415703,1.0,0.04437967467478194
US,TSLA,2016-06-29,1.39983,1.39983,294.174275,294.174275,1.0,0.04282591457534129
US,TSLA,2016-06-30,1.48991,1.48991,316.233398,316.233398,1.0,0.032505990294715785
US,TSLA,2016-07-01,1.48991,1.48991,322.491019,322.491019,1.0,0.03624379996107147
US,TSLA,2016-07-05,1.48991,1.48991,318.915235,318.915235,1.0,0.03473565517380244
US,TSLA,2016-07-06,1.48991,1.48991,319.585695,319.585695,1.0,0.03302145767193992
US,TSLA,2016-07-07,1.48991,1.48991,321.82056,321.82056,1.0,0.024243075085072254
US,TSLA,2016-07-08,1.48991,1.48991,322.937993,322.937993,1.0,0.02734930297803223
US,TSLA,2016-07-11,1.48991,1.48991,335.006263,335.006263,1.0,0.036443812042338125
US,TSLA,2016-07-12,1.48991,1.48991,334.782777,334.782777,1.0,0.030681719030008523
US,TSLA,2016-07-13,1.48991,1.48991,331.653966,331.653966,1.0,0.023941714600210752
US,TSLA,2016-07-14,1.48991,1.48991,330.089561,330.089561,1.0,0.017959474062191675
US,TSLA,2016-07-15,1.48991,1.48991,328.301669,328.301669,1.0,0.014995536643152943
US,TSLA,2016-07-18,1.48991,1.48991,337.017642,337.017642,1.0,0.022901383305031848
US,TSLA,2016-07-19,1.48991,1.48991,335.676723,335.676723,1.0,0.020907974307172915
US,TSLA,2016-07-20,1.48991,1.48991,340.146453,340.146453,1.0,0.017239296333335572
US,TSLA,2016-07-21,1.48991,1.48991,328.525155,328.525155,1.0,0.02972461423844393
US,TSLA,2016-07-22,1.48991,1.48991,331.206993,331.206993,1.0,0.017314468659180755
US,TSLA,2016-07-25,1.48991,1.48991,342.604805,342.604805,1.0,0.030140746756515496
US,TSLA,2016-07-26,1.48991,1.48991,341.934345,341.934345,1.0,0.023021524790087993
US,TSLA,2016-07-27,1.48991,1.48991,340.369939,340.369939,1.0,0.019390432979173238
US,TSLA,2016-07-28,1.48991,1.48991,343.498751,343.498751,1.0,0.01623655120107926
US,TSLA,2016-07-29,1.48991,1.48991,349.756372,349.756372,1.0,0.02061064091119598
US,TSLA,2016-08-01,1.48991,1.48991,342.604805,342.604805,1.0,0.02695666181178729
US,TSLA,2016-08-02,1.48991,1.48991,338.582047,338.582047,1.0,0.02640696417904437
US,TSLA,2016-08-03,1.48991,1.48991,336.347182,336.347182,1.0,0.02609419360900994
US,TSLA,2016-08-04,1.48991,1.48991,343.498751,343.498751,1.0,0.02783389600714137
US,TSLA,2016-08-05,1.48991,1.48991,342.828291,342.828291,1.0,0.0215127088213382
US,TSLA,2016-08-08,1.48991,1.48991,337.017642,337.017642,1.0,0.015192863998496554
US,TSLA,2016-08-09,1.48991,1.48991,341.263886,341.263886,1.0,0.014818344732232149
US,TSLA,2016-08-10,1.48991,1.48991,336.123696,336.123696,1.0,0.01569423656462471
US,TSLA,2016-08-11,1.48991,1.48991,335.006263,335.006263,1.0,0.012624252471625803
US,TSLA,2016-08-12,1.48991,1.48991,336.123696,336.123696,1.0,0.01217187615359317
US,TSLA,2016-08-15,1.48991,1.48991,336.123696,336.123696,1.0,0.013653844863112536
US,TSLA,2016-08-16,1.48991,1.48991,333.218371,333.218371,1.0,0.015216355350323174
US,TSLA,2016-08-17,1.48991,1.48991,332.547912,332.547912,1.0,0.011994684242672375
US,TSLA,2016-08-18,1.48991,1.48991,332.994885,332.994885,1.0,0.011507406487640193
US,TSLA,2016-08-19,1.48991,1.48991,335.22975,335.22975,1.0,0.011138256673221873
US,TSLA,2016-08-22,1.48991,1.48991,332.100939,332.100939,1.0,0.013863253485109838
US,TSLA,2016-08-23,1.48991,1.48991,335.006263,335.006263,1.0,0.03211200676550933
