country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,TXN,2016,Q2,2016-06-30,USD,3273000000.0,1270000000.0,454000000.0,876000000.0,1123000000.0,234000000.0,-21000000.0,1102000000.0,819000000.0,1003348270.0,1016000000.0,1235000000.0,1304000000.0,6689000000.0,2557000000.0,9004000000.0,1991000000.0,3740000000.0,1741000000.0,31850000000.0,9962000000.0,6000000.0,114000000.0,25000000.0,1069000000.0,65000000.0,-1220000000.0,-46000000.0,1281000000.0,-158000000.0
US,TXN,2016,Q3,2016-09-30,USD,3675000000.0,1395000000.0,442000000.0,876000000.0,1399000000.0,237000000.0,-18000000.0,1381000000.0,968000000.0,1001122459.0,1017000000.0,1369000000.0,1768000000.0,7181000000.0,2545000000.0,9035000000.0,2170000000.0,3760000000.0,1741000000.0,32432000000.0,10286000000.0,270000000.0,291000000.0,7000000.0,1413000000.0,-603000000.0,-676000000.0,134000000.0,1235000000.0,-139000000.0
US,TXN,2016,Q4,2016-12-31,USD,3414000000.0,1281000000.0,411000000.0,814000000.0,1516000000.0,227000000.0,3000000.0,1497000000.0,1047000000.0,995983961.0,1018000000.0,1154000000.0,2336000000.0,7457000000.0,2512000000.0,8974000000.0,2264000000.0,3694000000.0,1741000000.0,33107000000.0,10473000000.0,274000000.0,31000000.0,-167000000.0,1387000000.0,-685000000.0,-917000000.0,-215000000.0,1369000000.0,-110000000.0
US,TXN,2017,Q1,2017-03-31,USD,3402000000.0,1258000000.0,439000000.0,892000000.0,1273000000.0,230000000.0,-18000000.0,1255000000.0,997000000.0,998000000.0,1019000000.0,1073000000.0,1976000000.0,7040000000.0,2501000000.0,8938000000.0,1602000000.0,3737000000.0,1741000000.0,33595000000.0,10639000000.0,-477000000.0,-278000000.0,-32000000.0,795000000.0,267000000.0,-1143000000.0,-81000000.0,1154000000.0,-127000000.0
US,TXN,2017,Q2,2017-06-30,USD,3693000000.0,1319000000.0,434000000.0,894000000.0,1506000000.0,225000000.0,-20000000.0,1486000000.0,1056000000.0,994000000.0,1015000000.0,1140000000.0,1844000000.0,7511000000.0,2514000000.0,8927000000.0,1877000000.0,3853000000.0,1741000000.0,34149000000.0,10708000000.0,-395000000.0,-171000000.0,10000000.0,917000000.0,-8000000.0,-842000000.0,67000000.0,1073000000.0,-151000000.0
US,TXN,2017,Q3,2017-09-30,USD,4116000000.0,1460000000.0,412000000.0,868000000.0,1808000000.0,225000000.0,-19000000.0,1789000000.0,1285000000.0,988000000.0,1008000000.0,1296000000.0,2148000000.0,7991000000.0,2567000000.0,8938000000.0,2055000000.0,3886000000.0,1741000000.0,34935000000.0,10988000000.0,161000000.0,181000000.0,-1000000.0,1722000000.0,-488000000.0,-1078000000.0,156000000.0,1140000000.0,-186000000.0
US,TXN,2017,Q4,2017-12-31,USD,3750000000.0,1310000000.0,409000000.0,877000000.0,1571000000.0,224000000.0,-21000000.0,1550000000.0,344000000.0,985000000.0,1007000000.0,1656000000.0,2813000000.0,8734000000.0,2664000000.0,8908000000.0,2258000000.0,5047000000.0,1741000000.0,34662000000.0,10337000000.0,1129000000.0,809000000.0,28000000.0,1929000000.0,-898000000.0,-671000000.0,360000000.0,1296000000.0,-231000000.0
US,TXN,2018,Q1,2018-03-31,USD,3789000000.0,1342000000.0,433000000.0,899000000.0,1576000000.0,229000000.0,-23000000.0,1553000000.0,1366000000.0,983000000.0,1005000000.0,1717000000.0,2362000000.0,8590000000.0,2736000000.0,8917000000.0,1860000000.0,5005000000.0,1741000000.0,35619000000.0,10642000000.0,-471000000.0,-147000000.0,-51000000.0,1112000000.0,266000000.0,-1317000000.0,61000000.0,1656000000.0,-189000000.0
US,TXN,2018,Q2,2018-06-30,USD,4017000000.0,1398000000.0,441000000.0,907000000.0,1736000000.0,233000000.0,-30000000.0,1706000000.0,1405000000.0,977000000.0,997000000.0,2919000000.0,2211000000.0,9592000000.0,2855000000.0,8935000000.0,1466000000.0,6427000000.0,1741000000.0,36413000000.0,10634000000.0,155000000.0,304000000.0,-42000000.0,1826000000.0,-81000000.0,-543000000.0,1202000000.0,1717000000.0,-249000000.0
US,TXN,2018,Q3,2018-09-30,USD,4261000000.0,1457000000.0,396000000.0,867000000.0,1960000000.0,243000000.0,-36000000.0,1924000000.0,1570000000.0,969000000.0,989000000.0,1502000000.0,3611000000.0,9468000000.0,3051000000.0,9105000000.0,2382000000.0,5675000000.0,1741000000.0,37378000000.0,10516000000.0,301000000.0,310000000.0,-2000000.0,2106000000.0,-1768000000.0,-1755000000.0,-1417000000.0,2919000000.0,-370000000.0
