country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,WDC,2016,Q4,2016-06-30,USD,3495000000.0,2674000000.0,432000000.0,1016000000.0,-259000000.0,420000000.0,-217000000.0,-485000000.0,-366000000.0,261000000.0,261000000.0,8151000000.0,227000000.0,12584000000.0,3503000000.0,20278000000.0,6949000000.0,14768000000.0,3000000.0,8848000000.0,11145000000.0,244000000.0,1000000.0,119000000.0,355000000.0,-9597000000.0,11505000000.0,2264000000.0,5887000000.0,-151000000.0
US,WDC,2017,Q1,2016-09-30,USD,4714000000.0,3379000000.0,396000000.0,1103000000.0,-35000000.0,508000000.0,-231000000.0,-271000000.0,-366000000.0,285000000.0,285000000.0,4077000000.0,248000000.0,9123000000.0,3359000000.0,19887000000.0,3919000000.0,14316000000.0,3000000.0,8329000000.0,10775000000.0,-205000000.0,209000000.0,257000000.0,440000000.0,-202000000.0,-4312000000.0,0.0,0.0,-183000000.0
US,WDC,2017,Q2,2016-12-30,USD,4888000000.0,3355000000.0,358000000.0,988000000.0,526000000.0,514000000.0,-200000000.0,321000000.0,235000000.0,286000000.0,294000000.0,4940000000.0,161000000.0,9606000000.0,3238000000.0,19369000000.0,4088000000.0,14155000000.0,3000000.0,8411000000.0,10732000000.0,168000000.0,56000000.0,71000000.0,1060000000.0,-114000000.0,-74000000.0,0.0,0.0,-146000000.0
US,WDC,2017,Q3,2017-03-31,USD,4649000000.0,3126000000.0,346000000.0,998000000.0,509000000.0,560000000.0,-198000000.0,304000000.0,248000000.0,289000000.0,299000000.0,5652000000.0,25000000.0,10313000000.0,3099000000.0,19135000000.0,4309000000.0,14108000000.0,3000000.0,8507000000.0,11031000000.0,108000000.0,68000000.0,36000000.0,998000000.0,-130000000.0,-160000000.0,0.0,0.0,-103000000.0
US,WDC,2017,Q4,2017-06-30,USD,4842000000.0,3161000000.0,345000000.0,1029000000.0,616000000.0,546000000.0,-192000000.0,415000000.0,280000000.0,292000000.0,301000000.0,6354000000.0,0.0,11056000000.0,3033000000.0,18804000000.0,4344000000.0,14098000000.0,3000000.0,8633000000.0,11418000000.0,20000000.0,188000000.0,51000000.0,939000000.0,-190000000.0,-49000000.0,6354000000.0,0.0,-125000000.0
US,WDC,2018,Q1,2017-09-29,USD,5181000000.0,3268000000.0,364000000.0,1008000000.0,915000000.0,533000000.0,-189000000.0,710000000.0,681000000.0,295000000.0,306000000.0,6886000000.0,35000000.0,11820000000.0,3048000000.0,18685000000.0,4469000000.0,13977000000.0,3000000.0,9229000000.0,12059000000.0,-236000000.0,-6000000.0,22000000.0,1133000000.0,-378000000.0,-224000000.0,6886000000.0,0.0,-155000000.0
US,WDC,2018,Q2,2017-12-29,USD,5336000000.0,3323000000.0,381000000.0,1058000000.0,971000000.0,535000000.0,-183000000.0,774000000.0,-823000000.0,296000000.0,296000000.0,6272000000.0,23000000.0,11113000000.0,3054000000.0,18727000000.0,4353000000.0,14215000000.0,3000000.0,8250000000.0,11272000000.0,1507000000.0,1543000000.0,29000000.0,1182000000.0,-629000000.0,-1167000000.0,-614000000.0,6886000000.0,-251000000.0
US,WDC,2018,Q3,2018-03-30,USD,5013000000.0,3086000000.0,376000000.0,1013000000.0,32000000.0,499000000.0,-144000000.0,-128000000.0,61000000.0,298000000.0,308000000.0,4963000000.0,20000000.0,10164000000.0,3011000000.0,18840000000.0,4259000000.0,13445000000.0,3000000.0,8155000000.0,11300000000.0,-323000000.0,-242000000.0,894000000.0,1027000000.0,-399000000.0,-1946000000.0,-1309000000.0,6272000000.0,-213000000.0
US,WDC,2018,Q4,2018-06-30,USD,5117000000.0,3265000000.0,352000000.0,1009000000.0,843000000.0,489000000.0,-100000000.0,729000000.0,756000000.0,299000000.0,307000000.0,5005000000.0,0.0,10638000000.0,3095000000.0,18597000000.0,4456000000.0,13248000000.0,3000000.0,8757000000.0,11531000000.0,-462000000.0,-5000000.0,14000000.0,863000000.0,-249000000.0,-563000000.0,42000000.0,4963000000.0,-190000000.0
US,WDC,2019,Q1,2018-09-28,USD,5028000000.0,3364000000.0,356000000.0,978000000.0,699000000.0,480000000.0,-101000000.0,583000000.0,511000000.0,292000000.0,298000000.0,4646000000.0,0.0,10571000000.0,3054000000.0,18134000000.0,4385000000.0,12945000000.0,3000000.0,9172000000.0,11375000000.0,-597000000.0,-350000000.0,31000000.0,705000000.0,-259000000.0,-807000000.0,-359000000.0,5005000000.0,-277000000.0
US,WDC,2019,Q2,2018-12-28,USD,4233000000.0,3189000000.0,309000000.0,868000000.0,199000000.0,472000000.0,-103000000.0,81000000.0,-487000000.0,290000000.0,290000000.0,4013000000.0,0.0,9742000000.0,3077000000.0,18197000000.0,4350000000.0,12677000000.0,3000000.0,8532000000.0,10912000000.0,299000000.0,258000000.0,26000000.0,469000000.0,-466000000.0,-631000000.0,-633000000.0,4646000000.0,-220000000.0
