country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,WDC,2016-06-13,1.97258915,1.97258915,91.2717,91.2717,0.6560981499,0.023281172108241596
US,WDC,2016-06-14,1.97297542,1.97297542,91.5066,91.5066,0.6560981499,0.02770854418449876
US,WDC,2016-06-15,1.97287784,1.97287784,91.2456,91.2456,0.6560981499,0.017761028782197683
US,WDC,2016-06-16,1.97282482,1.97282482,91.5588,91.5588,0.6560981499,0.016670579499298878
US,WDC,2016-06-17,1.97277217,1.97277217,91.872,91.872,0.6560981499,0.025405126279736602
US,WDC,2016-06-20,1.97285294,1.97285294,93.9078,93.9078,0.6560981499,0.023673988898533917
US,WDC,2016-06-21,1.97272411,1.97272411,96.3873,96.3873,0.6560981499,0.02937476487779125
US,WDC,2016-06-22,1.97275605,1.97275605,95.3433,95.3433,0.6560981499,0.021730620924974478
US,WDC,2016-06-23,1.97278795,1.97278795,100.1979,100.1979,0.6560981499,0.03602292932699634
US,WDC,2016-06-24,1.97264269,1.97264269,94.3515,94.3515,0.6560981499,0.037934635542131556
US,WDC,2016-06-27,1.97297676,1.97297676,83.1807,83.1807,0.6560981499,0.05481825340912784
US,WDC,2016-06-28,1.97259184,1.97259184,86.9913,86.9913,0.6560981499,0.05180757008505115
US,WDC,2016-06-29,1.97281421,1.97281421,89.9406,89.9406,0.6636222113,0.03748830093838385
US,WDC,2016-06-30,2.15439246,2.15439246,101.7735,101.7735,0.6636222113,0.02898012969280444
US,WDC,2016-07-01,2.15421959,2.15421959,100.0635,100.0635,0.6636222113,0.02213307729691568
US,WDC,2016-07-05,2.15439597,2.15439597,96.3015,96.3015,0.6636222113,0.026596508347534645
US,WDC,2016-07-06,2.1539604,2.1539604,97.8975,97.8975,0.6636222113,0.019823723918044177
US,WDC,2016-07-07,2.15425063,2.15425063,102.6285,102.6285,0.6636222113,0.036366134751925315
US,WDC,2016-07-08,2.15439895,2.15439895,106.2765,106.2765,0.6636222113,0.03374255292874145
US,WDC,2016-07-11,2.15406307,2.15406307,106.5615,106.5615,0.6636222113,0.02575571786762957
US,WDC,2016-07-12,2.15427441,2.15427441,111.6345,111.6345,0.6636222113,0.0373734365159172
US,WDC,2016-07-13,2.15435661,2.15435661,112.005,112.005,0.6636222113,0.01859735580173981
US,WDC,2016-07-14,2.15416586,2.15416586,111.435,111.435,0.6636222113,0.016818610058187442
US,WDC,2016-07-15,2.15419167,2.15419167,111.264,111.264,0.6636222113,0.01456366819021262
US,WDC,2016-07-18,2.15418426,2.15418426,112.233,112.233,0.6636222113,0.013714952638266885
US,WDC,2016-07-19,2.15406329,2.15406329,110.2665,110.2665,0.6636222113,0.01772610144616503
US,WDC,2016-07-20,2.15412729,2.15412729,111.6915,111.6915,0.6636222113,0.019391339450511302
US,WDC,2016-07-21,2.15405693,2.15405693,111.2355,111.2355,0.6636222113,0.014592223056982993
US,WDC,2016-07-22,2.15409507,2.15409507,112.8315,112.8315,0.6636222113,0.015432438782750661
US,WDC,2016-07-25,2.15419708,2.15419708,112.1475,112.1475,0.6636222113,0.013672053533746318
US,WDC,2016-07-26,2.15407594,2.15407594,115.7385,115.7385,0.6636222113,0.023597876266145013
US,WDC,2016-07-27,2.1543055,2.1543055,115.083,115.083,0.6636222113,0.0168351961687885
US,WDC,2016-07-28,2.15408828,2.15408828,115.653,115.653,0.6636222113,0.023461453631788948
US,WDC,2016-07-29,2.154,2.154,102.315,102.315,0.6636222113,0.08200749767873723
US,WDC,2016-08-01,2.15436482,2.15436482,99.2085,99.2085,0.6636222113,0.037048349777638864
US,WDC,2016-08-02,2.15443038,2.15443038,97.014,97.014,0.6636222113,0.039949491243249174
US,WDC,2016-08-03,2.15421041,2.15421041,96.444,96.444,0.6636222113,0.026502589503315972
US,WDC,2016-08-04,2.15423442,2.15423442,95.3895,95.3895,0.6636222113,0.01949920821523221
US,WDC,2016-08-05,2.1539749,2.1539749,97.812,97.812,0.6636222113,0.019754846586188167
US,WDC,2016-08-08,2.15415748,2.15415748,97.6695,97.6695,0.6636222113,0.019609029373284265
US,WDC,2016-08-09,2.15418692,2.15418692,97.4985,97.4985,0.6636222113,0.013863160862568044
US,WDC,2016-08-10,2.15400834,2.15400834,92.967,92.967,0.6636222113,0.02803359415033648
US,WDC,2016-08-11,2.1542284,2.1542284,94.506,94.506,0.6636222113,0.017599786865682393
US,WDC,2016-08-12,2.15439151,2.15439151,95.418,95.418,0.6636222113,0.012738487165686983
US,WDC,2016-08-15,2.15413485,2.15413485,98.724,98.724,0.6636222113,0.020126783149160783
US,WDC,2016-08-16,2.154316,2.154316,98.5815,98.5815,0.6636222113,0.015080949498587952
US,WDC,2016-08-17,2.15406977,2.15406977,96.33,96.33,0.6636222113,0.021965827922091865
US,WDC,2016-08-18,2.15430131,2.15430131,98.667,98.667,0.6636222113,0.017189078114611553
US,WDC,2016-08-19,2.15432589,2.15432589,100.3485,100.3485,0.6636222113,0.0181427819632247
US,WDC,2016-08-22,2.15418474,2.15418474,99.351,99.351,0.6636222113,0.01366399146435324
US,WDC,2016-08-23,2.15420521,2.15420521,100.149,100.149,0.6636222113,0.014723277686251625
US,WDC,2016-08-24,2.1542961,2.1542961,97.7835,97.7835,0.6636222113,0.012805248220056659
US,WDC,2016-08-25,2.15438389,2.15438389,100.0065,100.0065,0.6636222113,0.019147307121759067
US,WDC,2016-08-26,2.15435941,2.15435941,101.061,101.061,0.6636222113,0.015616348573889998
US,WDC,2016-08-29,2.15415427,2.15415427,101.3745,101.3745,0.6636222113,0.01303683955745658
US,WDC,2016-08-30,2.15399236,2.15399236,101.4315,101.4315,0.6636222113,0.011469114031583657
US,WDC,2016-08-31,2.15414791,2.15414791,100.491,100.491,0.6636222113,0.015495682652543578
US,WDC,2016-09-01,2.15396243,2.15396243,99.75,99.75,0.6636222113,0.014002431091613792
US,WDC,2016-09-02,2.15434505,2.15434505,101.1465,101.1465,0.6636222113,0.013096870252980133
US,WDC,2016-09-06,2.15398612,2.15398612,102.4005,102.4005,0.6636222113,0.02096333805530743
US,WDC,2016-09-07,2.15408221,2.15408221,114.7695,114.7695,0.6636222113,0.08640730104725204
US,WDC,2016-09-08,2.15416277,2.15416277,115.14,115.14,0.6636222113,0.03306903177980371
US,WDC,2016-09-09,2.15421757,2.15421757,111.093,111.093,0.6636222113,0.02802023288669027
