country,code,time,open,high,low,close,volume,amount
US,WDC,2016-06-13,46.64,47.47,46.24,46.27,4592418.75,214268558.4436
US,WDC,2016-06-14,46.24,47.42,45.45,46.38,5466827.66,253479147.5705
US,WDC,2016-06-15,46.38,47.01,46.0,46.25,3504034.01,162617848.3846
US,WDC,2016-06-16,45.8,46.49,45.06,46.41,3288813.3,151089212.7112
US,WDC,2016-06-17,46.54,47.19,46.29,46.57,5011852.61,233799820.3251
US,WDC,2016-06-20,48.02,48.82,47.59,47.6,4670529.86,224217236.4989
US,WDC,2016-06-21,47.72,48.95,47.38,48.86,5794830.69,279474524.003
US,WDC,2016-06-22,48.94,49.64,48.18,48.33,4286921.39,209086927.6172
US,WDC,2016-06-23,49.35,51.25,49.31,50.79,7106560.09,356570264.1542
US,WDC,2016-06-24,48.17,49.49,47.64,47.83,7483148.15,361334800.2669
US,WDC,2016-06-27,47.47,47.48,41.62,42.16,10815514.0,483237979.9923
US,WDC,2016-06-28,43.75,44.76,43.05,44.1,10219519.0,448821543.7255
US,WDC,2016-06-29,44.56,46.16,43.95,45.59,7395745.28,333282709.8208
US,WDC,2016-06-30,45.71,47.27,44.84,47.24,6243457.29,288829013.0388
US,WDC,2016-07-01,46.75,46.86,46.12,46.45,4767950.87,221928642.6209
US,WDC,2016-07-05,46.36,46.37,44.08,44.7,5729941.04,259994166.9707
US,WDC,2016-07-06,44.36,45.55,43.5,45.45,4269951.63,190947808.4503
US,WDC,2016-07-07,48.26,48.26,47.26,47.64,7834176.87,374904392.7027
US,WDC,2016-07-08,48.0,49.4,47.5,49.33,7269492.06,352954274.603
US,WDC,2016-07-11,49.48,50.47,48.73,49.47,5547944.07,274842163.0718
US,WDC,2016-07-12,51.66,52.54,50.74,51.82,8051263.79,416151346.6578
US,WDC,2016-07-13,51.9,52.42,51.23,51.99,4006533.64,207862413.6147
US,WDC,2016-07-14,52.83,52.83,51.64,51.73,3623007.56,189323519.3647
US,WDC,2016-07-15,52.02,52.07,51.01,51.65,3137293.27,162165716.7583
US,WDC,2016-07-18,51.65,52.14,51.13,52.1,2954453.51,152910749.881
US,WDC,2016-07-19,52.13,52.18,51.04,51.19,3818314.44,197164545.5636
US,WDC,2016-07-20,51.56,52.17,50.59,51.85,4177141.35,215299860.3673
US,WDC,2016-07-21,51.49,52.07,51.28,51.64,3143247.92,162265337.7942
US,WDC,2016-07-22,51.85,52.4,50.91,52.38,3324294.03,172488175.0125
US,WDC,2016-07-25,52.38,52.95,51.99,52.06,2945229.78,154166417.427
US,WDC,2016-07-26,52.35,53.77,52.09,53.73,5083161.75,269335246.2802
US,WDC,2016-07-27,54.31,54.55,52.88,53.42,3626815.57,195075941.3242
US,WDC,2016-07-28,53.28,54.11,52.43,53.69,5053804.23,269767418.2551
US,WDC,2016-07-29,50.75,50.99,47.03,47.5,17664415.0,866814124.9956
US,WDC,2016-08-01,47.68,47.68,45.93,46.05,7981566.14,373807197.7089
US,WDC,2016-08-02,46.38,47.23,44.37,45.03,8606839.76,393771149.1209
US,WDC,2016-08-03,43.99,45.06,43.74,44.77,5709215.42,253430018.4247
US,WDC,2016-08-04,44.61,44.9,44.28,44.28,4200586.55,187002281.8167
US,WDC,2016-08-05,44.32,45.58,44.32,45.41,4255144.37,191100731.2801
US,WDC,2016-08-08,45.96,46.32,45.29,45.34,4224093.73,193155067.4317
US,WDC,2016-08-09,45.39,45.75,45.05,45.26,2986383.98,135469941.5003
US,WDC,2016-08-10,45.41,45.59,43.08,43.16,6038459.56,267570844.2758
US,WDC,2016-08-11,43.38,44.25,43.28,43.87,3791396.07,165663933.64
US,WDC,2016-08-12,43.87,44.41,43.59,44.29,2744368.86,120858307.7295
US,WDC,2016-08-15,44.45,46.24,44.45,45.83,4335580.5,196161415.3706
