country,code,time,open,high,low,close,volume,amount
US,WMT,2016-06-13,71.01,71.19,70.47,70.53,7907600.0,559858080.0
US,WMT,2016-06-14,70.65,71.16,70.2,70.95,9066400.0,641357136.0
US,WMT,2016-06-15,71.19,71.61,71.01,71.13,8017000.0,571090995.0
US,WMT,2016-06-16,71.01,71.46,70.8,71.31,6705200.0,477041454.0
US,WMT,2016-06-17,71.04,71.31,70.41,70.95,18059315.0,1280902064.6625
US,WMT,2016-06-20,71.31,71.79,71.04,71.1,7142529.0,509333742.99
US,WMT,2016-06-21,70.95,71.73,70.95,71.46,6674800.0,475729683.0
US,WMT,2016-06-22,71.61,72.24,71.55,71.76,8457520.33,607165384.4907
US,WMT,2016-06-23,72.21,72.24,71.79,72.09,6970200.0,502429441.5
US,WMT,2016-06-24,70.56,72.72,70.5,71.97,15120400.0,1080163575.0
US,WMT,2016-06-27,71.64,71.76,70.86,71.49,11346072.0,810535018.5
US,WMT,2016-06-28,71.76,71.88,70.68,71.52,8561200.0,611783352.0
US,WMT,2016-06-29,71.64,72.48,71.55,72.45,7014715.0,505269921.45
US,WMT,2016-06-30,72.57,73.2,72.33,73.02,8713600.0,634175808.0
US,WMT,2016-07-01,73.14,73.17,72.42,72.81,7638805.33,556754326.4771
US,WMT,2016-07-05,72.75,73.62,72.69,73.14,10748636.0,785187859.8
US,WMT,2016-07-06,73.26,73.98,73.17,73.83,11062744.0,813775448.64
US,WMT,2016-07-07,73.74,73.92,73.14,73.53,7792800.0,573413706.0
US,WMT,2016-07-08,73.83,73.86,73.23,73.83,9127600.0,672590025.0
US,WMT,2016-07-11,73.68,74.34,73.5,74.07,9040100.0,668040789.75
US,WMT,2016-07-12,73.56,73.74,72.99,73.26,12361200.0,907157565.0
US,WMT,2016-07-13,73.26,73.62,72.93,73.62,6399000.0,469414642.5
US,WMT,2016-07-14,73.8,74.1,73.62,73.71,6646409.33,490554856.624
US,WMT,2016-07-15,73.98,74.01,73.44,73.68,5994801.67,442281480.2084
US,WMT,2016-07-18,73.65,74.19,73.53,73.83,5457318.33,402750092.754
US,WMT,2016-07-19,73.65,73.95,73.59,73.65,4798100.0,353667951.0
US,WMT,2016-07-20,73.89,74.1,73.62,73.8,5282000.0,390088905.0
US,WMT,2016-07-21,73.44,73.65,73.14,73.53,4432235.33,325503362.6352
US,WMT,2016-07-22,73.77,73.92,73.41,73.56,4316637.0,317985064.605
US,WMT,2016-07-25,73.56,73.83,73.41,73.74,4734000.0,348588090.0
US,WMT,2016-07-26,73.71,74.07,73.41,73.74,5248300.0,386970279.75
US,WMT,2016-07-27,73.65,73.83,73.14,73.32,5777921.67,424590573.9199
US,WMT,2016-07-28,73.14,73.32,72.48,73.23,4603200.0,336229236.0
US,WMT,2016-07-29,73.17,73.26,72.75,72.96,6302200.0,460281177.0
US,WMT,2016-08-01,72.81,73.98,72.81,73.77,5868400.67,430403176.1395
