country,code,fiscal_year,period,report_date,release_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_equity,debt_to_assets,ocf_to_revenue,fcf_margin,accrual_ratio,revenue_yoy,revenue_qoq,net_income_yoy,net_income_qoq,eps_yoy,revenue_ttm,net_income_ttm,eps_ttm,net_margin_ttm,roe_ttm,revenue_ttm_yoy,net_income_ttm_yoy,eps_basic
US,XOM,2016,Q2,2016-06-30,2016-08-03,0.19336408800567778,0.043843151171043294,0.030163236337828248,0.009918956292410831,0.00496160592590863,0.8897949673811743,0.9707311640121694,0.4835359283797555,0.08018097941802697,0.00440028388928318,-0.008227510061844958,-0.21020179372197312,0.19647595796624562,-0.594272076372315,-0.06077348066298338,-0.589999999959,226835000000.0,10530000000.0,2.5395882355480763,0.04642140763109749,0.06143918221122709,-0.2954231312801876,-0.557004627681952,0.410000000041
US,XOM,2016,Q3,2016-09-30,2016-11-03,0.19343985061743618,0.058696073422939386,0.046682051191713494,0.015533957817977185,0.007772867997635875,0.8585394134463525,0.9518104069825378,0.47844047780403437,0.09433297514400972,0.03436855919812567,-0.007934191673058507,-0.1356902510695961,0.007221433640880015,-0.375,0.5588235294117647,-0.3762376238562348,217923000000.0,8940000000.0,2.1253584907424825,0.04102366432180174,0.05240512561989284,-0.23379321983840684,-0.551654964894684,0.6300000000523018
US,XOM,2016,Q4,2016-12-31,2017-02-22,0.13663149239413458,0.013909825955872276,0.02877895025352885,0.009943122969205912,0.005017171868000598,0.8693899827868509,0.9352099208127895,0.47374316559395,0.12669590242565437,0.060110319309305195,-0.017070329998506793,0.011873602468322586,0.028343932214138556,-0.39568345323741005,-0.36603773584905663,-0.38805970160144554,218608000000.0,7840000000.0,1.913333333151111,0.03586328039230037,0.04640124052296092,-0.1575410038229128,-0.5145510835913313,0.4099999999609524
US,XOM,2017,Q1,2017-03-31,2017-05-03,0.24843290717852462,0.10737684598222191,0.07100612671317774,0.023281738060126105,0.011889883665938746,0.8080900813129989,0.9056567561007276,0.4661063481779965,0.14472146474483832,0.09354747317349577,-0.012343537581372318,0.19889608321834196,-0.03258188296560227,1.2154696132596685,1.3869047619047619,1.1928729279580552,227977000000.0,10040000000.0,2.3785536157228377,0.04403953030349553,0.058291433946051394,-0.057303533400872464,-0.22887864823348691,0.9499999999052369
US,XOM,2017,Q2,2017-06-30,2017-08-02,0.23417698925498875,0.07699996430228823,0.05979366722593082,0.01880284792986257,0.009749411033714045,0.8278867102396514,0.8771947448905557,0.4582172052289716,0.12399600185628101,0.06870024631421126,-0.010468248205453558,-0.005926188786373299,-0.007932854056734051,0.9705882352941178,-0.1645885286783042,0.9024390245861666,227643000000.0,11690000000.0,2.721850746821152,0.051352336772929545,0.06561352008958013,0.0035620605285779927,0.11016144349477686,0.7800000001583284
US,XOM,2017,Q3,2017-09-30,2017-11-01,0.2541870261162595,0.09593934288121314,0.06689132266217354,0.02196683395397478,0.011466714035460164,0.8507726351414173,0.8790460620158441,0.45854785119638725,0.1269587194608256,0.04417860151642797,-0.010296935903379215,0.04550178801064009,0.05932959697283402,0.4981132075471697,0.18507462686567155,0.47543603396491485,230226000000.0,13010000000.0,3.0461250292671505,0.056509690478052,0.07198703016151432,0.05645572059856008,0.4552572706935123,0.9295247014750644
US,XOM,2017,Q4,2017-12-31,2018-02-28,0.31497875354107646,0.06301148882593642,0.1648567831287378,0.04530170503075975,0.024007402759991865,0.8158764778175901,0.8215282809769404,0.4421995405674365,0.14579398803903054,0.05724740321057602,0.0027760349969489398,-0.12923119090037005,-0.14352148272957033,3.988095238095238,1.1108312342569269,3.795200001328098,222682000000.0,19710000000.0,4.624163571246059,0.08851186894315662,0.10655090765588003,0.01863609748957029,1.5140306122448979,1.966032000357279
US,XOM,2018,Q1,2018-03-31,2018-05-03,0.24737147747417323,0.11376000978054894,0.07106180084357235,0.024741741446141486,0.013333008371122137,0.8011640632772858,0.8178485081962857,0.44123717842133325,0.1301882755669662,0.07900849685188581,-0.011093636427499259,0.1586924956617204,0.2872993389990557,0.15960099750623447,-0.44510739856801906,0.14630839405000384,231644000000.0,20350000000.0,4.765807962529274,0.08785032204589802,0.10827837385569446,0.01608495593853765,1.0268924302788847,1.088992974238876
US,XOM,2018,Q2,2018-06-30,2018-08-02,0.23261867442901926,0.09319021495745633,0.055278772951186744,0.02104326655425833,0.011324281553175386,0.8095665124025173,0.8292668596639284,0.4451303076349666,0.10887819077474249,0.03992666815942678,-0.01098025274649664,0.2754078463570484,0.09199828840393676,0.17910447761194037,-0.15053763440860213,0.18569481692217904,247074000000.0,20950000000.0,4.9051744322172794,0.08479241037098198,0.1116092238763828,0.08535733582846827,0.7921300256629598,0.9248419573870288
US,XOM,2018,Q3,2018-09-30,2018-11-07,0.2514726299756022,0.12508930136007657,0.08411177160418941,0.03305198537025904,0.01774194006977359,0.8267216027447617,0.8289181309589473,0.44496486459050044,0.14972973701591924,0.07958267621011768,-0.013840987862124654,0.24999157540016848,0.038219323779668635,0.5717884130982367,0.579746835443038,0.5706952143776445,261911000000.0,23220000000.0,5.432884616324922,0.0886560701917827,0.12299152248356009,0.13762563741714673,0.7847809377401997,1.4600000002526923
