country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,XOM,2016,Q2,2016-06-30,USD,56360000000.0,45462000000.0,2646000000.0,9761000000.0,2471000000.0,4821000000.0,-75000000.0,2396000000.0,1700000000.0,4146341463.0,4146341463.0,4358000000.0,0.0,45828000000.0,254062000000.0,296645000000.0,51504000000.0,114094000000.0,12019000000.0,409767000000.0,170591000000.0,-1326000000.0,-1326000000.0,-676000000.0,4519000000.0,-3147000000.0,-1775000000.0,-488000000.0,4846000000.0,-4271000000.0
US,XOM,2016,Q3,2016-09-30,USD,56767000000.0,45786000000.0,2736000000.0,9559000000.0,3332000000.0,4605000000.0,-106000000.0,3226000000.0,2650000000.0,4206349206.0,4206349206.0,5093000000.0,0.0,42945000000.0,251923000000.0,296441000000.0,50021000000.0,112355000000.0,12228000000.0,409284000000.0,170597000000.0,-661000000.0,-661000000.0,-1239000000.0,5355000000.0,-3235000000.0,-1296000000.0,735000000.0,4358000000.0,-3404000000.0
US,XOM,2016,Q4,2016-12-31,USD,58376000000.0,50400000000.0,2824000000.0,9804000000.0,812000000.0,8117000000.0,-195000000.0,617000000.0,1680000000.0,4097560976.0,4097560976.0,3657000000.0,0.0,41416000000.0,244224000000.0,288898000000.0,47638000000.0,108846000000.0,12157000000.0,407831000000.0,167325000000.0,780000000.0,780000000.0,-5659000000.0,7396000000.0,-1672000000.0,-6746000000.0,-1436000000.0,5093000000.0,-3887000000.0
US,XOM,2017,Q1,2017-03-31,USD,56474000000.0,42444000000.0,2505000000.0,9790000000.0,6064000000.0,4519000000.0,-146000000.0,5918000000.0,4010000000.0,4221052632.0,4221052632.0,4897000000.0,0.0,43131000000.0,253147000000.0,301078000000.0,53374000000.0,107064000000.0,14415000000.0,408707000000.0,177151000000.0,793000000.0,793000000.0,-1149000000.0,8173000000.0,-3761000000.0,-3246000000.0,1240000000.0,3657000000.0,-2890000000.0
US,XOM,2017,Q2,2017-06-30,USD,56026000000.0,42906000000.0,2556000000.0,10438000000.0,4314000000.0,4652000000.0,-158000000.0,4156000000.0,3350000000.0,4294871794.0,4294871795.0,4042000000.0,0.0,42180000000.0,252987000000.0,300832000000.0,50949000000.0,106225000000.0,14617000000.0,408768000000.0,179178000000.0,-1021000000.0,-1021000000.0,-34000000.0,6947000000.0,-2878000000.0,-5059000000.0,-855000000.0,4897000000.0,-3098000000.0
US,XOM,2017,Q3,2017-09-30,USD,59350000000.0,44264000000.0,2632000000.0,10667000000.0,5694000000.0,4880000000.0,-111000000.0,5583000000.0,3970000000.0,4271000000.0,4271000000.0,4266000000.0,0.0,45752000000.0,255556000000.0,303675000000.0,53777000000.0,106452000000.0,14783000000.0,409449000000.0,182276000000.0,-319000000.0,-319000000.0,-996000000.0,7535000000.0,-2555000000.0,-4988000000.0,224000000.0,4042000000.0,-4913000000.0
US,XOM,2017,Q4,2017-12-31,USD,50832000000.0,34821000000.0,3004000000.0,14011000000.0,3203000000.0,5842000000.0,-186000000.0,3017000000.0,8380000000.0,4262392473.0,4270000000.0,3177000000.0,0.0,47134000000.0,252630000000.0,301557000000.0,57771000000.0,96420000000.0,14656000000.0,414540000000.0,187688000000.0,1415000000.0,1415000000.0,-11862000000.0,7411000000.0,-6536000000.0,-1837000000.0,-1089000000.0,4266000000.0,-4501000000.0
US,XOM,2018,Q1,2018-03-31,USD,65436000000.0,49249000000.0,2747000000.0,11181000000.0,7444000000.0,4470000000.0,-204000000.0,7240000000.0,4650000000.0,4270000000.0,4270000000.0,4125000000.0,0.0,48315000000.0,250352000000.0,300511000000.0,60306000000.0,93609000000.0,14888000000.0,415970000000.0,188195000000.0,351000000.0,351000000.0,-952000000.0,8519000000.0,-1859000000.0,-5742000000.0,948000000.0,3177000000.0,-3349000000.0
US,XOM,2018,Q2,2018-06-30,USD,71456000000.0,54834000000.0,2993000000.0,11700000000.0,6659000000.0,4589000000.0,-147000000.0,6512000000.0,3950000000.0,4271000000.0,4271000000.0,3430000000.0,0.0,50555000000.0,248209000000.0,298235000000.0,62447000000.0,92810000000.0,15086000000.0,416418000000.0,187222000000.0,-1333000000.0,-1333000000.0,574000000.0,7780000000.0,-5096000000.0,-3244000000.0,-695000000.0,4125000000.0,-4927000000.0
US,XOM,2018,Q3,2018-09-30,USD,74187000000.0,55531000000.0,2892000000.0,11487000000.0,9280000000.0,4658000000.0,-200000000.0,9080000000.0,6240000000.0,4273972602.0,4273972603.0,5669000000.0,0.0,53975000000.0,249153000000.0,300653000000.0,65288000000.0,92509000000.0,15254000000.0,419155000000.0,190365000000.0,957000000.0,957000000.0,-747000000.0,11108000000.0,-3907000000.0,-4959000000.0,2239000000.0,3430000000.0,-5204000000.0
