country,code,time,open,high,low,close,volume,amount
US,XOM,2016-06-13,89.92,91.43,89.7,90.59,11370000.0,1027961700.0
US,XOM,2016-06-14,90.45,90.87,89.85,90.43,10161030.0,918557112.0
US,XOM,2016-06-15,90.23,90.9,90.0,90.16,10655800.0,962458495.5
US,XOM,2016-06-16,89.7,91.39,89.11,91.22,12824808.0,1158785526.84
US,XOM,2016-06-17,91.49,91.59,90.19,90.72,17483223.0,1590929584.9425
US,XOM,2016-06-20,91.29,91.59,91.07,91.12,9388528.0,856867479.24
US,XOM,2016-06-21,90.72,91.64,90.25,91.53,8557500.0,779032012.5
US,XOM,2016-06-22,91.84,91.93,91.01,91.17,8785428.0,803756844.15
US,XOM,2016-06-23,91.93,92.07,91.19,91.8,9464500.0,868344213.75
US,XOM,2016-06-24,89.88,90.8,89.15,89.39,20010500.0,1797042952.5
US,XOM,2016-06-27,88.9,89.1,88.11,88.86,14395728.0,1277512892.04
US,XOM,2016-06-28,89.73,90.93,89.52,90.91,13254300.0,1196498796.75
US,XOM,2016-06-29,91.41,92.7,91.12,92.46,13920631.0,1279619203.0975
US,XOM,2016-06-30,92.33,93.83,92.3,93.74,14073700.0,1309557785.0
US,XOM,2016-07-01,93.36,93.98,93.07,93.84,9946300.0,930600693.75
US,XOM,2016-07-05,93.12,93.6,92.25,93.02,10744100.0,999174439.75
US,XOM,2016-07-06,93.35,94.12,92.44,94.09,13144408.0,1229002148.0
US,XOM,2016-07-07,94.34,94.49,92.35,92.96,12240700.0,1144933874.5
US,XOM,2016-07-08,93.39,93.78,92.92,93.54,9807645.0,916107600.3375
US,XOM,2016-07-11,93.75,94.41,93.65,93.89,8335705.0,782931092.125
US,XOM,2016-07-12,94.67,94.95,94.09,94.95,9870813.0,934420512.645
US,XOM,2016-07-13,94.65,94.92,94.11,94.88,9458206.0,895124615.84
US,XOM,2016-07-14,95.05,95.53,94.62,94.95,9293500.0,883231006.25
US,XOM,2016-07-15,95.44,95.55,94.64,95.12,10334500.0,983715218.75
US,XOM,2016-07-18,94.92,95.15,94.4,94.82,9865900.0,935509302.75
US,XOM,2016-07-19,94.76,94.94,94.2,94.47,5901800.0,558266016.5
US,XOM,2016-07-20,94.25,94.42,93.8,93.93,7383800.0,694815580.0
US,XOM,2016-07-21,93.89,94.26,93.46,93.85,7759624.0,728357106.76
US,XOM,2016-07-22,94.11,94.29,93.72,94.01,7139700.0,671363840.25
US,XOM,2016-07-25,93.47,93.62,91.76,92.2,10845900.0,1006092798.75
US,XOM,2016-07-26,91.63,92.03,91.11,91.53,12143539.0,1112044583.925
US,XOM,2016-07-27,91.51,91.81,90.63,90.91,10037900.0,915607048.5
US,XOM,2016-07-28,90.54,90.73,89.61,90.2,12439249.0,1122891007.23
US,XOM,2016-07-29,87.61,89.01,86.12,88.95,23928100.0,2103818372.25
US,XOM,2016-08-01,88.08,88.15,85.59,85.86,22908400.0,1991198128.0
US,XOM,2016-08-02,86.45,87.32,85.58,87.04,18919200.0,1638355422.0
US,XOM,2016-08-03,87.01,87.49,86.6,87.49,14632941.0,1275224225.7975
US,XOM,2016-08-04,87.5,87.65,87.03,87.48,13451400.0,1175854131.0
US,XOM,2016-08-05,87.73,87.83,87.15,87.56,9617300.0,842162917.75
US,XOM,2016-08-08,88.05,88.89,88.03,88.59,10492709.0,927450548.51
US,XOM,2016-08-09,88.62,88.76,88.18,88.7,9654600.0,855059649.0
US,XOM,2016-08-10,87.78,87.92,86.01,86.41,12714814.0,1106570262.42
US,XOM,2016-08-11,86.69,87.27,86.26,86.72,11616032.0,1007516535.52
US,XOM,2016-08-12,86.96,87.98,86.9,87.85,9986924.0,873081863.39
US,XOM,2016-08-15,88.42,88.5,87.64,87.81,6432600.0,566663815.5
US,XOM,2016-08-16,87.83,88.18,87.37,87.92,6817932.0,598784877.9
US,XOM,2016-08-17,87.92,88.18,87.66,88.11,7104600.0,624973900.5
US,XOM,2016-08-18,88.38,88.94,88.12,88.91,10342730.0,916236593.875
US,XOM,2016-08-19,88.63,88.74,87.79,87.8,8615300.0,760214072.0
US,XOM,2016-08-22,87.31,88.1,86.85,87.99,8235406.0,721112737.875
US,XOM,2016-08-23,87.84,88.02,87.56,87.72,6514800.0,571901718.0
US,XOM,2016-08-24,87.5,88.16,87.35,88.02,7985437.0,700781987.5275
US,XOM,2016-08-25,88.02,88.03,87.24,87.46,6935300.0,608139118.75
US,XOM,2016-08-26,87.63,88.11,87.0,87.27,6474424.0,566528286.06
US,XOM,2016-08-29,87.04,87.92,87.04,87.84,7027200.0,614598912.0
US,XOM,2016-08-30,87.87,88.25,87.37,87.52,6441118.0,565224207.295
US,XOM,2016-08-31,87.14,87.21,86.22,87.14,12491437.0,1085849389.8175
US,XOM,2016-09-01,86.72,86.84,86.09,86.84,8434729.0,730637312.8025
US,XOM,2016-09-02,87.42,87.58,86.93,87.42,7099643.0,620065070.5125
US,XOM,2016-09-06,87.84,88.64,87.66,88.57,9851200.0,868654188.0
US,XOM,2016-09-07,88.65,88.67,87.97,88.24,7470400.0,660252628.0
US,XOM,2016-09-08,88.55,89.37,88.04,89.05,9579545.0,850208567.6125
US,XOM,2016-09-09,88.66,88.66,86.8,86.84,12820202.0,1124844523.48
